,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
0,0,0,0,0,0,0,0,0,0,0,0,"Krause-Levy, Sophia Louisa",CSE 12 - Basic Data Struct & OO Design (A),S122,90,45,97.7%,90.7%,11.21,B+ (3.59),B- (2.79),2.79,cse,12
1,1,1,1,1,1,1,1,1,1,1,1,"Cao, Yingjun",CSE 12 - Basic Data Struct & OO Design (A),SP22,179,122,97.5%,97.5%,9.69,B+ (3.68),B (3.20),3.2,cse,12
2,2,2,2,2,2,2,2,2,2,2,2,"Cao, Yingjun",CSE 12 - Basic Data Struct & OO Design (B),SP22,182,116,98.2%,98.2%,8.88,B+ (3.69),B (3.28),3.28,cse,12
3,3,3,3,3,3,3,3,3,3,3,3,"Miranda, Gregory Joseph",CSE 12 - Basic Data Struct & OO Design (C),SP22,185,72,82.6%,66.2%,10.01,B+ (3.39),B (3.06),3.06,cse,12
4,4,4,4,4,4,4,4,4,4,4,4,"Zhou, Yuan-Yuan",CSE 120 - Princ/Computer Operating Systm (A),SP22,193,148,91.2%,88.4%,11.31,B (3.24),B- (2.72),2.72,cse,12
5,5,5,5,5,5,5,5,5,5,5,5,"Shalev, Aaron D",CSE 123 - Computer Networks (A),SP22,84,32,78.1%,93.8%,12.69,B- (2.82),C+ (2.55),2.55,cse,12
6,6,6,6,6,6,6,6,6,6,6,6,"Voelker, Geoffrey M.",CSE 125 - Software Sys Design & Implemnt (A),SP22,33,19,100.0%,100.0%,12.39,A (4.00),A (4.00),4.0,cse,12
7,7,7,7,7,7,7,7,7,7,7,7,"Obaido, George Rabeshi",CSE 127 - Intro to Computer Security (A),SP22,188,145,91.7%,67.4%,8.07,B+ (3.64),A- (3.79),3.79,cse,12
8,8,8,8,8,8,8,8,8,8,8,8,"Cao, Yingjun",CSE 12 - Basic Data Struct & OO Design (A),WI22,350,156,93.5%,91.5%,8.41,A- (3.81),B (3.22),3.22,cse,12
9,9,9,9,9,9,9,9,9,9,9,9,"Alvarado, Christine J.",CSE 12 - Basic Data Struct & OO Design (B),WI22,237,117,96.5%,98.2%,8.61,A- (3.85),B (3.25),3.25,cse,12
10,10,10,10,10,10,10,10,10,10,10,10,"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (A),WI22,224,93,92.0%,97.7%,9.55,B+ (3.36),B (3.23),3.23,cse,12
11,11,11,11,11,11,11,11,11,11,11,11,"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (B),WI22,205,82,92.4%,93.7%,8.35,B+ (3.45),B (3.29),3.29,cse,12
12,12,12,12,12,12,12,12,12,12,12,12,"Snoeren, Alex C.",CSE 123 - Computer Networks (A),WI22,84,27,68.0%,84.0%,14.35,C+ (2.64),B- (3.00),3.0,cse,12
13,13,13,13,13,13,13,13,13,13,13,13,"Heninger, Nadia A",CSE 127 - Intro to Computer Security (A),WI22,186,62,86.9%,80.3%,10.03,B (3.11),B (3.05),3.05,cse,12
