,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
0,0,0,0,"Morris, Justin Loren",CSE 15L - Software Tools&Techniques Lab (A),S122,80,62,91.9%,90.3%,5.09,A- (3.70),B+ (3.54),3.54,cse,15L
1,1,1,1,"Soosai Raj, Adalbert Geral",CSE 15L - Software Tools&Techniques Lab (A),SP22,380,280,98.9%,98.2%,4.49,A- (3.87),B+ (3.62),3.62,cse,15L
2,2,2,2,"Gungor, Onat",CSE 15L - Software Tools&Techniques Lab (B),SP22,98,73,94.4%,87.5%,3.96,A- (3.90),B+ (3.65),3.65,cse,15L
3,3,3,3,"Gungor, Onat",CSE 15L - Software Tools&Techniques Lab (C),SP22,44,26,84.6%,80.0%,4.27,A- (3.96),A- (3.75),3.75,cse,15L
4,4,4,4,"Politz, Joseph Gibbs",CSE 15L - Software Tools&Techniques Lab (A),WI22,137,79,98.7%,100.0%,3.82,A- (3.92),B+ (3.69),3.69,cse,15L
5,5,5,5,"Politz, Joseph Gibbs",CSE 15L - Software Tools&Techniques Lab (B),WI22,140,90,98.9%,100.0%,3.9,A- (3.92),B+ (3.67),3.67,cse,15L
6,6,6,6,"Politz, Joseph Gibbs",CSE 15L - Software Tools&Techniques Lab (C),WI22,285,149,94.5%,97.9%,3.92,A- (3.94),A- (3.77),3.77,cse,15L
7,7,7,7,"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (A),FA21,259,106,86.9%,75.8%,5.46,A- (3.74),B+ (3.44),3.44,cse,15L
8,8,8,8,"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (B),FA21,223,89,89.3%,74.7%,5.78,B+ (3.65),B+ (3.36),3.36,cse,15L
9,9,9,9,"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (A),SP21,227,88,90.9%,75.9%,6.0,B+ (3.64),B+ (3.44),3.44,cse,15L
10,10,10,10,"Ochoa, Benjamin Lawrence",CSE 15L - Software Tools&Techniques Lab (B),SP21,101,40,90.0%,95.0%,5.17,A- (3.81),B+ (3.63),3.63,cse,15L
11,11,11,11,"Ochoa, Benjamin Lawrence",CSE 15L - Software Tools&Techniques Lab (C),SP21,89,29,100.0%,100.0%,5.46,A- (3.85),B+ (3.59),3.59,cse,15L
12,12,12,12,"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (A),WI21,524,320,89.0%,80.3%,5.0,A- (3.76),B+ (3.58),3.58,cse,15L
13,13,13,13,"Muller, P Keith",CSE 15L - Software Tools&Techniques Lab (B),WI21,150,87,87.2%,86.0%,5.42,A- (3.80),B+ (3.62),3.62,cse,15L
14,14,14,14,"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (A),FA20,183,82,90.9%,75.3%,6.76,B+ (3.65),B+ (3.33),3.33,cse,15L
