,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
0,0,0,0,"Braun, Oliver",CSE 21 - Math/Algorithm&Systems Analys (A),S222,53,17,87.5%,100.0%,6.9,B+ (3.38),B+ (3.32),3.32,cse,21
1,1,1,1,"Bach, Quang Tran",CSE 21 - Math/Algorithm&Systems Analys (A),S122,25,8,100.0%,100.0%,7.25,A- (3.75),B- (2.97),2.97,cse,21
2,2,2,2,"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (A),SP22,286,102,82.7%,91.8%,7.28,B (3.29),B (3.06),3.06,cse,21
3,3,3,3,"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (A),WI22,272,138,86.9%,88.3%,8.66,B+ (3.34),B (3.27),3.27,cse,21
4,4,4,4,"Impagliazzo, Russell",CSE 21 - Math/Algorithm&Systems Analys (A),FA21,138,71,79.4%,63.2%,8.5,B (3.30),B (3.06),3.06,cse,21
5,5,5,5,"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (B),FA21,246,129,72.1%,93.4%,9.25,B (3.26),B- (2.95),2.95,cse,21
6,6,6,6,"Braun, Oliver",CSE 21 - Math/Algorithm&Systems Analys (A),S221,57,42,83.3%,88.1%,8.12,B+ (3.36),B (3.09),3.09,cse,21
7,7,7,7,"Braun, Oliver",CSE 21 - Math/Algorithm&Systems Analys (A),S121,43,36,94.4%,97.2%,8.16,B (3.26),B (3.11),3.11,cse,21
8,8,8,8,"Kahng, Andrew Byun",CSE 21 - Math/Algorithm&Systems Analys (A),SP21,107,46,87.0%,89.1%,8.33,B+ (3.44),B (3.21),3.21,cse,21
9,9,9,9,"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (B),SP21,188,104,89.1%,88.1%,8.2,B+ (3.41),B (3.29),3.29,cse,21
10,10,10,10,"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (A),WI21,309,161,87.8%,91.9%,9.19,B+ (3.43),B+ (3.33),3.33,cse,21
11,11,11,11,"Meyer, Kyle Phillip",CSE 21 - Math/Algorithm&Systems Analys (A),FA20,383,223,82.9%,61.8%,8.46,B+ (3.37),B+ (3.53),3.53,cse,21
12,12,12,12,"Braun, Oliver",CSE 21 - Math/Algorithm&Systems Analys (A),S220,38,14,92.9%,92.3%,10.36,B (3.07),B+ (3.32),3.32,cse,21
13,13,13,13,"Bach, Quang Tran",CSE 21 - Math/Algorithm&Systems Analys (B),S220,77,25,76.0%,88.0%,9.06,B+ (3.36),B (3.11),3.11,cse,21
14,14,14,14,"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (A),SP20,190,97,96.8%,100.0%,7.53,A- (3.86),A- (3.88),3.88,cse,21
15,15,15,15,"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (B),SP20,152,72,94.4%,98.6%,7.89,A- (3.76),A- (3.89),3.89,cse,21
16,16,16,16,"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (A),WI20,167,73,93.0%,93.0%,7.41,B+ (3.43),B+ (3.34),3.34,cse,21
17,17,17,17,"Kahng, Andrew Byun",CSE 21 - Math/Algorithm&Systems Analys (B),WI20,119,50,91.5%,93.6%,6.83,B+ (3.49),B+ (3.49),3.49,cse,21
18,18,18,18,"Impagliazzo, Russell",CSE 21 - Math/Algorithm&Systems Analys (A),FA19,188,97,72.6%,42.1%,8.29,B (3.10),B (3.07),3.07,cse,21
19,19,19,19,"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (B),FA19,194,120,89.6%,89.4%,8.83,B (3.26),B (3.11),3.11,cse,21
20,20,20,20,"Braun, Oliver",CSE 21 - Math/Algorithm&Systems Analys (A),S219,37,32,81.3%,87.5%,6.56,B (3.00),B- (2.73),2.73,cse,21
21,21,21,21,"Bach, Quang Tran",CSE 21 - Math/Algorithm&Systems Analys (B),S219,35,13,92.3%,83.3%,7.73,B+ (3.54),B- (2.88),2.88,cse,21
22,22,22,22,"Bach, Quang Tran",CSE 21 - Math/Algorithm&Systems Analys (A),S119,40,15,92.3%,84.6%,6.33,B+ (3.31),C+ (2.66),2.66,cse,21
23,23,23,23,"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (A),SP19,146,57,86.8%,90.6%,7.14,B+ (3.43),B (3.17),3.17,cse,21
24,24,24,24,"Bach, Quang Tran",CSE 21 - Math/Algorithm&Systems Analys (B),SP19,164,64,94.9%,98.3%,8.09,B+ (3.52),B- (2.92),2.92,cse,21
25,25,25,25,"Kahng, Andrew Byun",CSE 21 - Math/Algorithm&Systems Analys (A),WI19,142,51,95.8%,93.6%,7.38,B+ (3.43),B (3.08),3.08,cse,21
26,26,26,26,"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (B),WI19,155,45,88.1%,95.2%,6.35,B (3.29),B (3.10),3.1,cse,21
27,27,27,27,"Bach, Quang Tran",CSE 21 - Math/Algorithm&Systems Analys (A),FA18,373,183,86.3%,93.1%,8.8,B (3.05),B (3.03),3.03,cse,21
28,28,28,28,"Braun, Oliver",CSE 21 - Math/Algorithm&Systems Analys (A),S218,38,35,85.7%,94.3%,5.64,B+ (3.42),B+ (3.44),3.44,cse,21
29,29,29,29,"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (A),SP18,170,57,87.5%,83.9%,6.96,B (3.18),B (3.20),3.2,cse,21
30,30,30,30,"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (B),SP18,149,56,74.5%,84.0%,6.16,B (3.25),B (3.20),3.2,cse,21
31,31,31,31,"Bach, Quang Tran",CSE 21 - Math/Algorithm&Systems Analys (A),WI18,136,74,86.6%,94.0%,7.32,B+ (3.37),B (3.17),3.17,cse,21
32,32,32,32,"Bach, Quang Tran",CSE 21 - Math/Algorithm&Systems Analys (B),WI18,124,63,91.7%,91.7%,7.55,B+ (3.37),B (3.17),3.17,cse,21
33,33,33,33,"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (A),FA17,164,60,94.5%,85.5%,8.54,B+ (3.38),B (3.24),3.24,cse,21
34,34,34,34,"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (B),FA17,194,94,90.9%,93.1%,7.94,B+ (3.32),B (3.24),3.24,cse,21
35,35,35,35,"Braun, Oliver",CSE 21 - Math/Algorithm&Systems Analys (A),S217,85,38,83.8%,94.1%,7.28,B+ (3.39),,,cse,21
36,36,36,36,"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (B),S217,17,7,100.0%,100.0%,15.17,B+ (3.67),,,cse,21
37,37,37,37,"Tiefenbruck, Janine LoBue",CSE 21 - Math/Algorithm&Systems Analys (A),SP17,142,59,89.1%,94.5%,6.15,B+ (3.62),C+ (2.59),2.59,cse,21
38,38,38,38,"Tiefenbruck, Janine LoBue",CSE 21 - Math/Algorithm&Systems Analys (B),SP17,141,46,84.1%,95.5%,7.62,B+ (3.36),C+ (2.59),2.59,cse,21
39,39,39,39,"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (C),SP17,138,43,70.7%,80.5%,7.5,B (3.14),B- (2.84),2.84,cse,21
40,40,40,40,"Kahng, Andrew Byun",CSE 21 - Math/Algorithm&Systems Analys (A),WI17,151,54,94.1%,92.2%,7.06,B+ (3.50),B (3.20),3.2,cse,21
41,41,41,41,"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (B),WI17,145,48,90.5%,69.0%,6.26,B+ (3.30),B- (2.99),2.99,cse,21
42,42,42,42,"Tiefenbruck, Janine LoBue",CSE 21 - Math/Algorithm&Systems Analys (A),FA16,181,89,89.3%,91.7%,7.76,B (3.16),B (3.00),3.0,cse,21
43,43,43,43,"Tiefenbruck, Janine LoBue",CSE 21 - Math/Algorithm&Systems Analys (B),FA16,190,85,85.4%,95.1%,7.6,B (3.16),B (3.00),3.0,cse,21
44,44,44,44,"Braun, Oliver",CSE 21 - Math/Algorithm&Systems Analys (A),S216,66,40,89.5%,94.7%,6.61,B+ (3.56),,,cse,21
