,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
0,0,0,0,0,0,0,0,0,0,0,"Langlois, Marina",DSC 30 - DataStrc/Algrthms for Data Sci (A),SP22,133,60,91.1%,85.2%,10.88,B (3.11),B- (2.97),2.97,dsc,30
1,1,1,1,1,1,1,1,1,1,1,"Liao, Soohyun Nam",DSC 30 - DataStrc/Algrthms for Data Sci (B),SP22,48,18,88.2%,70.6%,9.79,B- (2.94),C+ (2.47),2.47,dsc,30
2,2,2,2,2,2,2,2,2,2,2,"Liao, Soohyun Nam",DSC 30 - DataStrc/Algrthms for Data Sci (B),WI22,77,25,47.8%,34.8%,11.63,B (3.14),B (3.14),3.14,dsc,30
3,3,3,3,3,3,3,3,3,3,3,"Langlois, Marina",DSC 30 - DataStrc/Algrthms for Data Sci (C),FA21,28,18,93.8%,87.5%,12.1,B (3.20),B- (2.77),2.77,dsc,30
4,4,4,4,4,4,4,4,4,4,4,"Liao, Soohyun Nam",DSC 30 - DataStrc/Algrthms for Data Sci (D),FA21,44,19,70.6%,76.5%,12.83,B (3.06),B- (2.75),2.75,dsc,30
5,5,5,5,5,5,5,5,5,5,5,"Fraenkel, Aaron Mcmillan",DSC 30 - DataStrc/Algrthms for Data Sci (A),S221,39,6,16.7%,66.7%,18.83,B+ (3.67),B- (2.79),2.79,dsc,30
6,6,6,6,6,6,6,6,6,6,6,"Langlois, Marina",DSC 30 - DataStrc/Algrthms for Data Sci (A),SP21,149,70,83.8%,72.1%,10.65,B+ (3.47),B+ (3.36),3.36,dsc,30
7,7,7,7,7,7,7,7,7,7,7,"Langlois, Marina",DSC 30 - DataStrc/Algrthms for Data Sci (A),WI21,136,51,90.0%,92.0%,11.97,B+ (3.64),B+ (3.36),3.36,dsc,30
8,8,8,8,8,8,8,8,8,8,8,"Langlois, Marina",DSC 30 - DataStrc/Algrthms for Data Sci (A),SP20,141,50,90.0%,94.0%,12.1,B+ (3.57),B+ (3.58),3.58,dsc,30
9,9,9,9,9,9,9,9,9,9,9,"Langlois, Marina",DSC 30 - DataStrc/Algrthms for Data Sci (A),WI20,98,30,85.2%,88.5%,11.69,B (3.00),C+ (2.67),2.67,dsc,30
10,10,10,10,10,10,10,10,10,10,10,"Langlois, Marina",DSC 30 - DataStrc/Algrthms for Data Sci (A),FA19,130,57,84.6%,82.4%,14.19,B- (2.92),C+ (2.69),2.69,dsc,30
11,11,11,11,11,11,11,11,11,11,11,"Langlois, Marina",DSC 30 - DataStrc/Algrthms for Data Sci (A),SP19,224,86,72.2%,78.7%,15.01,B (3.16),C+ (2.66),2.66,dsc,30
12,12,12,12,12,12,12,12,12,12,12,"Langlois, Marina",DSC 30 - Representations of Data (A),FA18,73,39,86.8%,89.2%,14.29,B (3.11),C+ (2.69),2.69,dsc,30
13,13,13,13,13,13,13,13,13,13,13,"Langlois, Marina",DSC 30 - Representations of Data (B),FA18,15,3,66.7%,66.7%,14.5,B (3.00),,,dsc,30
14,14,14,14,14,14,14,14,14,14,14,"Langlois, Marina",DSC 30 - Representations of Data (A),SP18,60,25,91.3%,95.7%,12.24,B+ (3.35),B- (2.88),2.88,dsc,30
