,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
0,0,0,0,0,0,0,0,"Dey, Sujit",ECE 25 - Introduction to Digital Design (A),SP22,28,13,100.0%,76.9%,5.58,A- (3.77),B (3.09),3.09,ece,25
1,1,1,1,1,1,1,1,"Morris, Karcher William",ECE 25 - Introduction to Digital Design (A),WI22,113,60,93.1%,96.4%,8.03,B+ (3.34),B+ (3.31),3.31,ece,25
2,2,2,2,2,2,2,2,"Liu, Zhaowei",ECE 25 - Introduction to Digital Design (A),FA21,64,31,83.9%,83.3%,6.44,B (3.13),B (3.06),3.06,ece,25
3,3,3,3,3,3,3,3,"Morris, Karcher William",ECE 25 - Introduction to Digital Design (A),SP21,57,29,96.3%,96.3%,6.65,B+ (3.33),B (3.24),3.24,ece,25
4,4,4,4,4,4,4,4,"Dey, Sujit",ECE 25 - Introduction to Digital Design (A),WI21,137,66,91.9%,74.2%,7.24,B+ (3.43),B+ (3.33),3.33,ece,25
5,5,5,5,5,5,5,5,"Liu, Zhaowei",ECE 25 - Introduction to Digital Design (A),FA20,89,48,76.1%,75.0%,8.84,B- (2.91),B (3.22),3.22,ece,25
6,6,6,6,6,6,6,6,"Liu, Zhaowei",ECE 25 - Introduction to Digital Design (A),SP20,44,13,83.3%,83.3%,6.04,B (3.09),A- (3.73),3.73,ece,25
7,7,7,7,7,7,7,7,"Dey, Sujit",ECE 25 - Introduction to Digital Design (A),WI20,145,67,93.4%,85.2%,6.27,B+ (3.47),B (3.15),3.15,ece,25
8,8,8,8,8,8,8,8,"Quest, Kevin B",ECE 25 - Introduction to Digital Design (A),FA19,77,34,86.7%,86.7%,7.08,B- (2.93),B- (2.78),2.78,ece,25
9,9,9,9,9,9,9,9,"Liu, Zhaowei",ECE 25 - Introduction to Digital Design (A),SP19,81,38,87.5%,74.2%,6.63,B (3.03),B- (2.91),2.91,ece,25
10,10,10,10,10,10,10,10,"Dey, Sujit",ECE 25 - Introduction to Digital Design (A),WI19,134,67,93.8%,92.3%,5.95,B+ (3.38),B (3.05),3.05,ece,25
11,11,11,11,11,11,11,11,"Quest, Kevin B",ECE 25 - Introduction to Digital Design (A),FA18,100,41,94.7%,94.7%,6.08,B (3.26),B- (2.81),2.81,ece,25
12,12,12,12,12,12,12,12,"Liu, Zhaowei",ECE 25 - Introduction to Digital Design (A),SP18,56,18,94.1%,93.8%,6.15,B- (2.94),B- (2.87),2.87,ece,25
13,13,13,13,13,13,13,13,"Dey, Sujit",ECE 25 - Introduction to Digital Design (A),WI18,134,75,94.3%,90.0%,7.3,B (3.24),B- (2.97),2.97,ece,25
14,14,14,14,14,14,14,14,"Vasconcelos, Manuela",ECE 25 - Introduction to Digital Design (A),FA17,67,50,85.7%,63.3%,6.91,B+ (3.38),B (3.18),3.18,ece,25
15,15,15,15,15,15,15,15,"Liu, Zhaowei",ECE 25 - Introduction to Digital Design (A),SP17,38,15,100.0%,76.9%,6.04,B (3.17),B (3.04),3.04,ece,25
16,16,16,16,16,16,16,16,"Dey, Sujit",ECE 25 - Introduction to Digital Design (A),WI17,100,48,97.6%,90.2%,6.99,B+ (3.63),B- (2.80),2.8,ece,25
17,17,17,17,17,17,17,17,"Lin, Bill",ECE 25 - Introduction to Digital Design (A),FA16,72,28,80.8%,88.5%,4.81,B+ (3.50),B- (2.85),2.85,ece,25
18,18,18,18,18,18,18,18,"Liu, Zhaowei",ECE 25 - Introduction to Digital Design (A),SP16,29,11,81.8%,81.8%,6.68,B+ (3.30),B (3.24),3.24,ece,25
19,19,19,19,19,19,19,19,"Dey, Sujit",ECE 25 - Introduction to Digital Design (A),WI16,137,71,92.3%,81.5%,6.88,B+ (3.34),B- (2.88),2.88,ece,25
20,20,20,20,20,20,20,20,"Liu, Zhaowei",ECE 25 - Introduction to Digital Design (A),FA15,62,30,89.7%,82.8%,6.57,B+ (3.36),B+ (3.38),3.38,ece,25
21,21,21,21,21,21,21,21,"Schurgers, Curt",ECE 25 - Introduction to Digital Design (A),S215,16,3,100.0%,100.0%,11.83,A (4.00),,,ece,25
22,22,22,22,22,22,22,22,"Quest, Kevin B",ECE 25 - Introduction to Digital Design (A),SP15,45,17,100.0%,84.6%,5.73,B+ (3.38),C+ (2.45),2.45,ece,25
23,23,23,23,23,23,23,23,"Vasconcelos, Manuela",ECE 25 - Introduction to Digital Design (A),WI15,165,90,94.2%,54.7%,5.99,B+ (3.45),B- (2.85),2.85,ece,25
