,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
0,0,0,0,"Taur, Yuan",ECE 35 - Introduction to Analog Design (A),SP22,129,47,80.0%,64.4%,8.02,B (3.24),C+ (2.66),2.66,ece,35
1,1,1,1,"Schurgers, Curt",ECE 35 - Introduction to Analog Design (A),WI22,197,146,77.9%,92.4%,11.06,B- (2.84),C+ (2.42),2.42,ece,35
2,2,2,2,"Schurgers, Curt",ECE 35 - Introduction to Analog Design (A),FA21,170,124,84.6%,94.3%,10.19,B- (2.75),C+ (2.46),2.46,ece,35
3,3,3,3,"Schurgers, Curt",ECE 35 - Introduction to Analog Design (B),FA21,151,102,88.0%,89.0%,10.62,B (3.12),B- (2.72),2.72,ece,35
4,4,4,4,"Taur, Yuan",ECE 35 - Introduction to Analog Design (A),SP21,104,42,71.8%,41.0%,8.74,B- (2.86),B- (2.95),2.95,ece,35
5,5,5,5,"Taur, Yuan",ECE 35 - Introduction to Analog Design (B),SP21,18,6,83.3%,50.0%,7.83,B+ (3.50),,,ece,35
6,6,6,6,"Schurgers, Curt",ECE 35 - Introduction to Analog Design (A),WI21,145,103,84.5%,86.1%,9.74,B- (2.82),C+ (2.35),2.35,ece,35
7,7,7,7,"Schurgers, Curt",ECE 35 - Introduction to Analog Design (A),FA20,155,82,90.0%,93.8%,10.09,B- (2.96),C+ (2.46),2.46,ece,35
8,8,8,8,"Schurgers, Curt",ECE 35 - Introduction to Analog Design (B),FA20,129,67,85.9%,98.4%,10.66,B (3.20),C+ (2.50),2.5,ece,35
9,9,9,9,"Schurgers, Curt",ECE 35 - Introduction to Analog Design (A),SP20,167,97,87.4%,91.6%,8.96,B (3.26),B+ (3.54),3.54,ece,35
10,10,10,10,"Taur, Yuan",ECE 35 - Introduction to Analog Design (A),WI20,163,55,74.5%,60.8%,8.26,B (3.08),C+ (2.58),2.58,ece,35
11,11,11,11,"Schurgers, Curt",ECE 35 - Introduction to Analog Design (A),FA19,166,97,91.1%,97.8%,9.95,B- (2.95),C+ (2.46),2.46,ece,35
12,12,12,12,"Schurgers, Curt",ECE 35 - Introduction to Analog Design (B),FA19,144,95,91.5%,98.9%,9.36,B- (2.98),B- (2.86),2.86,ece,35
