,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
0,0,0,0,0,0,0,"Alcantara, Eldridge Escubido",ECE 45 - Circuits and Systems (A),S322,6,6,100.0%,100.0%,9.83,A- (3.80),,,ece,45
1,1,1,1,1,1,1,"Congero, Spencer William",ECE 45 - Circuits and Systems (A),S122,67,41,92.3%,100.0%,9.73,B (3.05),B- (2.72),2.72,ece,45
2,2,2,2,2,2,2,"Zeger, Kenneth A.",ECE 45 - Circuits and Systems (A),SP22,130,42,65.0%,67.5%,7.62,B (3.08),C+ (2.61),2.61,ece,45
3,3,3,3,3,3,3,"Franceschetti, Massimo",ECE 45 - Circuits and Systems (A),WI22,220,93,68.1%,54.9%,7.71,B- (2.96),A- (3.71),3.71,ece,45
4,4,4,4,4,4,4,"Franceschetti, Massimo",ECE 45 - Circuits and Systems (A),FA21,67,35,75.8%,69.7%,8.32,B (3.22),B- (2.88),2.88,ece,45
5,5,5,5,5,5,5,"Shevchenko, Valentin I",ECE 45 - Circuits and Systems (A),S221,31,8,75.0%,75.0%,14.5,B- (2.75),C+ (2.62),2.62,ece,45
6,6,6,6,6,6,6,"Shevchenko, Valentin I",ECE 45 - Circuits and Systems (A),S121,28,9,66.7%,50.0%,9.61,B (3.00),B (3.10),3.1,ece,45
7,7,7,7,7,7,7,"Antipa, Nicholas A",ECE 45 - Circuits and Systems (A),SP21,151,105,70.2%,80.8%,9.08,B- (2.97),B (3.16),3.16,ece,45
8,8,8,8,8,8,8,"Zeger, Kenneth A.",ECE 45 - Circuits and Systems (A),WI21,197,85,72.0%,68.3%,7.72,B- (2.96),C+ (2.67),2.67,ece,45
9,9,9,9,9,9,9,"Franceschetti, Massimo",ECE 45 - Circuits and Systems (A),FA20,103,41,79.5%,74.4%,8.08,B (3.09),B- (2.92),2.92,ece,45
10,10,10,10,10,10,10,"Shevchenko, Valentin I",ECE 45 - Circuits and Systems (A),S220,35,8,71.4%,42.9%,8.79,B (3.00),B- (2.78),2.78,ece,45
11,11,11,11,11,11,11,"Shevchenko, Valentin I",ECE 45 - Circuits and Systems (A),S120,34,13,90.9%,72.7%,9.23,B+ (3.42),B+ (3.38),3.38,ece,45
12,12,12,12,12,12,12,"Dilmaghani, Raheleh B.",ECE 45 - Circuits and Systems (A),SP20,176,83,44.9%,21.8%,8.95,C+ (2.31),B- (2.83),2.83,ece,45
13,13,13,13,13,13,13,"Zeger, Kenneth A.",ECE 45 - Circuits and Systems (A),WI20,189,105,76.2%,66.3%,8.36,B- (2.85),B- (2.74),2.74,ece,45
14,14,14,14,14,14,14,"Lugannani, Robert",ECE 45 - Circuits and Systems (A),FA19,98,39,79.5%,64.1%,5.73,B (3.28),B (3.19),3.19,ece,45
15,15,15,15,15,15,15,"Shevchenko, Valentin I",ECE 45 - Circuits and Systems (A),S119,29,18,88.9%,88.9%,7.61,B+ (3.39),B+ (3.46),3.46,ece,45
16,16,16,16,16,16,16,"Franceschetti, Massimo",ECE 45 - Circuits and Systems (A),SP19,127,82,82.1%,77.6%,6.65,B (3.18),C+ (2.66),2.66,ece,45
