,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
0,0,0,0,0,0,0,0,0,0,0,0,0,"Saad, Andrew S",ECE 65 - Components & Circuits Lab (A),S122,20,17,94.1%,100.0%,8.74,B+ (3.41),B (3.05),3.05,ece,65
1,1,1,1,1,1,1,1,1,1,1,1,1,"Baghdadchi, Saharnaz",ECE 65 - Components & Circuits Lab (A),SP22,184,128,96.9%,100.0%,7.8,B+ (3.51),B- (2.89),2.89,ece,65
2,2,2,2,2,2,2,2,2,2,2,2,2,"Baghdadchi, Saharnaz",ECE 65 - Components & Circuits Lab (A),WI22,150,119,95.0%,97.5%,8.26,B+ (3.47),B- (2.88),2.88,ece,65
3,3,3,3,3,3,3,3,3,3,3,3,3,"Baghdadchi, Saharnaz",ECE 65 - Components & Circuits Lab (A),FA21,77,59,91.5%,98.3%,8.57,B (3.07),C+ (2.58),2.58,ece,65
4,4,4,4,4,4,4,4,4,4,4,4,4,"Raihan Miah, Mohammad Abu",ECE 65 - Components & Circuits Lab (A),S121,31,23,100.0%,95.7%,10.86,B+ (3.36),B- (2.71),2.71,ece,65
5,5,5,5,5,5,5,5,5,5,5,5,5,"Baghdadchi, Saharnaz",ECE 65 - Components & Circuits Lab (A),SP21,123,99,100.0%,100.0%,7.93,B+ (3.56),B (3.09),3.09,ece,65
6,6,6,6,6,6,6,6,6,6,6,6,6,"Baghdadchi, Saharnaz",ECE 65 - Components & Circuits Lab (A),WI21,165,131,98.5%,99.2%,8.25,B+ (3.64),B (3.25),3.25,ece,65
7,7,7,7,7,7,7,7,7,7,7,7,7,"Baghdadchi, Saharnaz",ECE 65 - Components & Circuits Lab (A),FA20,86,69,98.6%,100.0%,7.8,B+ (3.58),B+ (3.44),3.44,ece,65
8,8,8,8,8,8,8,8,8,8,8,8,8,"Raihan Miah, Mohammad Abu",ECE 65 - Components & Circuits Lab (A),S120,46,41,95.1%,100.0%,10.5,B (3.17),B (3.29),3.29,ece,65
9,9,9,9,9,9,9,9,9,9,9,9,9,"Baghdadchi, Saharnaz",ECE 65 - Components & Circuits Lab (A),SP20,170,118,98.3%,99.1%,8.43,B+ (3.64),B+ (3.47),3.47,ece,65
