,GPA,yearly_num,dept,num,index,Course
AAS 10,3.651734104046243,199,AAS,10,0,
AAS 190,4.0,83,AAS,190,1,
ANAR 100,3.798909090909091,0,ANAR,100,0,
ANAR 111,3.2932242990654204,0,ANAR,111,1,
ANAR 114,3.7599999999999993,0,ANAR,114,2,
ANAR 116,3.35,0,ANAR,116,3,
ANAR 125,3.59,0,ANAR,125,4,
ANAR 135,4.0,22,ANAR,135,5,
ANAR 135S,4.0,0,ANAR,135,6,
ANAR 142,3.33,0,ANAR,142,7,
ANAR 143,3.4206944444444445,36,ANAR,143,8,
ANAR 144,2.9745945945945946,0,ANAR,144,9,
ANAR 146,3.525886075949367,78,ANAR,146,10,
ANAR 153,2.946544342507645,0,ANAR,153,11,
ANAR 154,3.0561244019138756,0,ANAR,154,12,
ANAR 155,3.983953488372093,23,ANAR,155,13,
ANAR 155S,4.0,0,ANAR,155,14,
ANAR 156,3.398215384615385,36,ANAR,156,15,
ANAR 158,3.4778282828282827,0,ANAR,158,16,
ANAR 159,3.25,31,ANAR,159,17,
ANAR 164,3.3060714285714283,40,ANAR,164,18,
ANAR 166,3.5115384615384615,28,ANAR,166,19,
ANAR 182,3.31,0,ANAR,182,20,
ANAR 184,3.6919230769230773,0,ANAR,184,21,
ANBI 100,3.6009767441860467,28,ANBI,100,0,
ANBI 103,2.93,0,ANBI,103,1,
ANBI 111,3.24768115942029,0,ANBI,111,2,
ANBI 116,3.321028037383178,108,ANBI,116,3,
ANBI 118,3.7700000000000005,0,ANBI,118,4,
ANBI 121,3.8700000000000006,35,ANBI,121,5,
ANBI 130,2.9600000000000004,0,ANBI,130,6,
ANBI 131,3.2666176470588235,82,ANBI,131,7,
ANBI 132,2.8209677419354837,0,ANBI,132,8,
ANBI 133,3.4810067114093965,24,ANBI,133,9,
ANBI 134,3.3686666666666665,0,ANBI,134,10,
ANBI 135,3.68,0,ANBI,135,11,
ANBI 136,3.5511538461538463,0,ANBI,136,12,
ANBI 139,3.41433734939759,0,ANBI,139,13,
ANBI 140,2.994766355140187,38,ANBI,140,14,
ANBI 141,3.248580576307364,137,ANBI,141,15,
ANBI 143,3.2674603174603174,25,ANBI,143,16,
ANBI 144,2.85,40,ANBI,144,17,
