Course,index,GPA,yearly_num,dept
ANAR 100,0,3.798909090909091,0,ANAR
ANAR 111,1,3.2932242990654204,0,ANAR
ANAR 114,2,3.7599999999999993,0,ANAR
ANAR 116,3,3.35,0,ANAR
ANAR 125,4,3.59,0,ANAR
ANAR 135,5,4.0,22,ANAR
ANAR 135S,6,4.0,0,ANAR
ANAR 142,7,3.33,0,ANAR
ANAR 143,8,3.4206944444444445,36,ANAR
ANAR 144,9,2.9745945945945946,0,ANAR
ANAR 146,10,3.525886075949367,78,ANAR
ANAR 153,11,2.946544342507645,0,ANAR
ANAR 154,12,3.0561244019138756,0,ANAR
ANAR 155,13,3.983953488372093,23,ANAR
ANAR 155S,14,4.0,0,ANAR
ANAR 156,15,3.398215384615385,36,ANAR
ANAR 158,16,3.4778282828282827,0,ANAR
ANAR 159,17,3.25,31,ANAR
ANAR 164,18,3.3060714285714283,40,ANAR
ANAR 166,19,3.5115384615384615,28,ANAR
ANAR 182,20,3.31,0,ANAR
ANAR 184,21,3.6919230769230773,0,ANAR
