Course,GPA,yearly_num,dept,num,index
ANBI 100,3.6009767441860467,28,ANBI,100,0
ANBI 103,2.93,0,ANBI,103,1
ANBI 111,3.24768115942029,0,ANBI,111,2
ANBI 116,3.321028037383178,108,ANBI,116,3
ANBI 118,3.7700000000000005,0,ANBI,118,4
ANBI 121,3.8700000000000006,35,ANBI,121,5
ANBI 130,2.9600000000000004,0,ANBI,130,6
ANBI 131,3.2666176470588235,82,ANBI,131,7
ANBI 132,2.8209677419354837,0,ANBI,132,8
ANBI 133,3.4810067114093965,24,ANBI,133,9
ANBI 134,3.3686666666666665,0,ANBI,134,10
ANBI 135,3.68,0,ANBI,135,11
ANBI 136,3.5511538461538463,0,ANBI,136,12
ANBI 139,3.41433734939759,0,ANBI,139,13
ANBI 140,2.994766355140187,38,ANBI,140,14
ANBI 141,3.248580576307364,137,ANBI,141,15
ANBI 143,3.2674603174603174,25,ANBI,143,16
ANBI 144,2.85,40,ANBI,144,17
ANBI 145,3.459433962264151,20,ANBI,145,18
ANBI 148,3.35,0,ANBI,148,19
ANBI 159,3.4686764705882354,0,ANBI,159,20
ANBI 173,3.666708074534162,0,ANBI,173,21
ANBI 175,3.173488372093023,22,ANBI,175,22
