Course,Enroll,GPA,yearly_num,dept,num,index
ANSC 101,35,3.75,35,ANSC,101,0
ANSC 104,101,2.5542574257425743,77,ANSC,104,1
ANSC 105,41,3.7000000000000006,41,ANSC,105,2
ANSC 118,62,3.6238709677419356,33,ANSC,118,3
ANSC 120,38,4.0,38,ANSC,120,4
ANSC 121,70,3.650285714285714,31,ANSC,121,5
ANSC 124,55,3.6060000000000003,29,ANSC,124,6
ANSC 135,92,3.508695652173913,60,ANSC,135,7
ANSC 137,57,3.308947368421053,27,ANSC,137,8
ANSC 140,64,3.2725,38,ANSC,140,9
ANSC 144,41,3.04,41,ANSC,144,10
ANSC 146,45,3.67,45,ANSC,146,11
ANSC 147,78,3.734102564102564,35,ANSC,147,12
ANSC 148,206,3.4885922330097086,85,ANSC,148,13
ANSC 150,101,3.2421782178217824,29,ANSC,150,14
ANSC 164,49,3.127959183673469,25,ANSC,164,15
ANSC 175,62,3.8574193548387097,36,ANSC,175,16
ANSC 180,24,3.8699999999999997,24,ANSC,180,17
ANSC 184,23,3.21,23,ANSC,184,18
ANSC 190,24,3.66,34,ANSC,190,19
