Course,Enroll,GPA,yearly_num,dept,num,index
ANTH 1,1974,3.2691134751773046,159,ANTH,1,0
ANTH 2,3166,3.0219330385344283,400,ANTH,2,1
ANTH 3,1296,3.38991512345679,106,ANTH,3,2
ANTH 4,32,3.15,32,ANTH,4,3
ANTH 10,96,3.6767708333333338,96,ANTH,10,4
ANTH 21,6214,3.605497264242034,860,ANTH,21,5
ANTH 23,8958,3.4342922527349855,563,ANTH,23,6
ANTH 101,1803,3.391691625069329,148,ANTH,101,7
ANTH 102,1826,3.4415826944140195,173,ANTH,102,8
ANTH 103,1592,3.426746231155779,137,ANTH,103,9
ANTH 105,147,3.4485034013605445,60,ANTH,105,10
ANTH 106,48,3.6683333333333334,20,ANTH,106,11
ANTH 107,27,3.89,27,ANTH,107,12
ANTH 108,24,3.65,24,ANTH,108,13
ANTH 109,23,3.7300000000000004,23,ANTH,109,14
ANTH 112,27,3.41,27,ANTH,112,15
