Course,Enroll,GPA,yearly_num,dept,num,index
BENG 2,23,3.4,15,BENG,2,0
BENG 100,286,3.3638461538461537,132,BENG,100,1
BENG 103B,227,3.107444933920705,128,BENG,103,2
BENG 110,184,3.141086956521739,97,BENG,110,3
BENG 112A,113,2.944955752212389,65,BENG,112,4
BENG 112B,101,3.446138613861386,56,BENG,112,5
BENG 119A,22,3.78,22,BENG,119,6
BENG 119B,44,3.87,44,BENG,119,7
BENG 120,115,3.5471304347826087,56,BENG,120,8
BENG 122A,117,3.612820512820513,60,BENG,122,9
BENG 123,152,2.9553947368421056,78,BENG,123,10
BENG 125,283,3.491166077738516,136,BENG,125,11
BENG 130,294,2.85108843537415,164,BENG,130,12
BENG 134,58,3.0355172413793103,26,BENG,134,13
BENG 135,25,3.63,25,BENG,135,14
BENG 140A,174,3.5168965517241384,78,BENG,140,15
BENG 140B,148,3.065405405405406,72,BENG,140,16
BENG 141,89,3.881460674157304,49,BENG,141,17
BENG 152,63,3.8033333333333337,42,BENG,152,18
BENG 161A,124,3.227983870967742,61,BENG,161,19
BENG 161B,123,3.361138211382114,62,BENG,161,20
BENG 162,119,3.436890756302521,61,BENG,162,21
BENG 166A,134,3.7183582089552236,63,BENG,166,22
BENG 168,201,3.5695024875621892,103,BENG,168,23
BENG 169A,21,3.94,11,BENG,169,24
BENG 172,192,3.543854166666667,106,BENG,172,25
BENG 179A,64,3.7824999999999998,28,BENG,179,26
BENG 179B,90,3.694,54,BENG,179,27
BENG 181,21,3.53,21,BENG,181,28
BENG 182,42,3.462380952380953,20,BENG,182,29
BENG 183,168,3.886904761904762,92,BENG,183,30
BENG 186B,135,3.526814814814815,74,BENG,186,31
