Course,GPA,yearly_num,dept,num,index
BICD 100,3.0203046138159575,2824,BICD,100,0
BICD 101,3.2784000000000004,0,BICD,101,1
BICD 102,3.7624999999999997,0,BICD,102,2
BICD 104,2.96,0,BICD,104,3
BICD 110,3.1218114793087044,1097,BICD,110,4
BICD 111,3.0023404255319153,0,BICD,111,5
BICD 112,3.5418002466091245,112,BICD,112,6
BICD 120,3.0201342281879193,0,BICD,120,7
BICD 123,3.5906761006289307,36,BICD,123,8
BICD 130,2.8023398692810457,140,BICD,130,9
BICD 131,3.5991578947368423,0,BICD,131,10
BICD 134,3.4863238731218695,0,BICD,134,11
BICD 136,2.7127704918032784,184,BICD,136,12
BICD 140,2.9050566134843026,192,BICD,140,13
BICD 145,3.684801324503311,0,BICD,145,14
BICD 150,3.0046961953435547,0,BICD,150,15
BICD 156,3.672727272727273,38,BICD,156,16
BICD 194,3.832774193548387,49,BICD,194,17
