Course,Enroll,GPA,yearly_num,dept,num,index
BILD 1,5248,3.177620045731707,2539,BILD,1,0
BILD 2,3272,3.1219651589242052,1676,BILD,2,1
BILD 3,6005,3.2006761032472943,3298,BILD,3,2
BILD 4,3506,3.7340045636052484,1645,BILD,4,3
BILD 5,230,3.46895652173913,139,BILD,5,4
BILD 10,398,2.81,184,BILD,10,5
BILD 12,77,2.86,77,BILD,12,6
BILD 20,401,3.2590274314214462,278,BILD,20,7
BILD 22,731,3.4719288645690836,342,BILD,22,8
BILD 28,135,2.8186666666666667,63,BILD,28,9
BILD 30,160,3.0048749999999997,87,BILD,30,10
BILD 32,366,2.7768852459016395,213,BILD,32,11
BILD 38,63,3.73,63,BILD,38,12
BILD 42,91,2.88,91,BILD,42,13
BILD 46,61,3.5,61,BILD,46,14
BILD 60,285,3.699614035087719,144,BILD,60,15
BILD 61,113,3.41,113,BILD,61,16
BILD 62,218,3.3498165137614677,172,BILD,62,17
BILD 80,42,3.8300000000000005,42,BILD,80,18
BILD 81,30,3.87,30,BILD,81,19
BILD 83,31,4.0,31,BILD,83,20
BILD 84R,64,3.91,64,BILD,84,21
