Course,Enroll,GPA,yearly_num,dept,num,index
BIMM 100,22472,2.864144713421146,1594,BIMM,100,0
BIMM 101,12641,3.3761767265248004,872,BIMM,101,1
BIMM 110,9723,3.166372518769927,413,BIMM,110,2
BIMM 112,1802,3.544067702552719,211,BIMM,112,3
BIMM 114,2266,2.7693159752868493,177,BIMM,114,4
BIMM 116,5027,2.929486771434255,257,BIMM,116,5
BIMM 118,2130,3.0914647887323943,85,BIMM,118,6
BIMM 120,8953,3.1225756729587846,717,BIMM,120,7
BIMM 121,6525,3.3140444444444443,574,BIMM,121,8
BIMM 122,1276,3.2364263322884015,129,BIMM,122,9
BIMM 124,2980,3.0033255033557045,107,BIMM,124,10
BIMM 130,361,3.124792243767313,16,BIMM,130,11
BIMM 134,3488,3.2650229357798164,472,BIMM,134,12
BIMM 140,1141,3.579754601226994,122,BIMM,140,13
BIMM 143,828,3.6865096618357485,352,BIMM,143,14
BIMM 170,140,3.974428571428572,60,BIMM,170,15
BIMM 172,81,3.6981481481481477,31,BIMM,172,16
BIMM 181,186,3.0553763440860213,34,BIMM,181,17
BIMM 182,132,3.5118181818181817,42,BIMM,182,18
BIMM 194,1617,3.9185157699443414,261,BIMM,194,19
