Course,Enroll,GPA,yearly_num,dept,num,index
BIPN 100,22113,2.802882919549586,1963,BIPN,100,0
BIPN 102,7075,2.9612494699646645,436,BIPN,102,1
BIPN 105,4809,3.0573923892701185,230,BIPN,105,2
BIPN 108,2824,3.4527726628895183,269,BIPN,108,3
BIPN 120,1176,3.209940476190476,315,BIPN,120,4
BIPN 134,2318,3.3151725625539257,565,BIPN,134,5
BIPN 140,6211,2.7361471582675896,379,BIPN,140,6
BIPN 142,963,3.0112668743509863,33,BIPN,142,7
BIPN 144,2651,3.1771821953979633,106,BIPN,144,8
BIPN 145,697,3.5465423242467717,358,BIPN,145,9
BIPN 146,416,3.301947115384616,39,BIPN,146,10
BIPN 148,3442,3.221804183614178,241,BIPN,148,11
BIPN 150,3068,3.490717079530639,71,BIPN,150,12
BIPN 152,2261,3.5563290579389655,106,BIPN,152,13
BIPN 154,190,3.127368421052632,60,BIPN,154,14
BIPN 156,180,3.5347222222222223,115,BIPN,156,15
BIPN 160,514,3.621245136186771,174,BIPN,160,16
BIPN 162,79,3.78126582278481,25,BIPN,162,17
BIPN 164,56,3.03,56,BIPN,164,18
BIPN 189,23,3.46,23,BIPN,189,19
BIPN 194,393,3.792315521628499,81,BIPN,194,20
