Course,Enroll,GPA,yearly_num,dept,num,index
CGS 2A,202,3.536039603960396,98,CGS,2,0
CGS 2B,104,3.816153846153846,97,CGS,2,1
CGS 100A,30,3.57,34,CGS,100,2
CGS 100B,57,3.810175438596491,28,CGS,100,3
CGS 101,63,3.2704761904761908,31,CGS,101,4
CGS 105,53,3.73,61,CGS,105,5
CGS 106,74,3.877027027027027,39,CGS,106,6
CGS 111,51,3.56,44,CGS,111,7
CGS 112,29,3.98,29,CGS,112,8
CGS 113,38,3.41,33,CGS,113,9
CGS 114,42,3.6866666666666665,22,CGS,114,10
CGS 119,49,3.971428571428572,29,CGS,119,11
CGS 121,21,3.71,10,CGS,121,12
CGS 123,40,3.8150000000000004,20,CGS,123,13
