Course,Enroll,GPA,yearly_num,dept,num,index
CHEM 4,835,2.855137724550898,429,CHEM,4,0
CHEM 6A,6506,2.929086996618506,3152,CHEM,6,1
CHEM 6AH,183,3.292295081967213,81,CHEM,6,2
CHEM 6B,3721,2.9665654393980114,1977,CHEM,6,3
CHEM 6BH,95,3.5392631578947364,32,CHEM,6,4
CHEM 6C,3830,3.005219321148825,2004,CHEM,6,5
CHEM 6CH,98,3.7343877551020404,45,CHEM,6,6
CHEM 7L,2917,3.0563009941720947,1608,CHEM,7,7
CHEM 7LM,173,3.53,173,CHEM,7,8
CHEM 11,753,3.29261620185923,558,CHEM,11,9
CHEM 40A,3198,2.820622263914947,1624,CHEM,40,10
CHEM 40B,2770,2.7093935018050543,1771,CHEM,40,11
CHEM 40C,1429,2.865031490552834,888,CHEM,40,12
CHEM 40CH,129,3.4939534883720933,45,CHEM,40,13
CHEM 41A,288,3.23,288,CHEM,41,14
CHEM 43A,2474,3.0649919159256265,1295,CHEM,43,15
CHEM 100A,648,3.2051388888888894,389,CHEM,100,16
CHEM 100B,111,3.242792792792793,74,CHEM,100,17
CHEM 105A,413,3.0384745762711862,248,CHEM,105,18
CHEM 108,482,3.5145020746887967,276,CHEM,108,19
CHEM 109,445,3.725752808988764,257,CHEM,109,20
CHEM 114A,686,2.9085714285714284,354,CHEM,114,21
CHEM 114B,480,3.1179166666666664,273,CHEM,114,22
CHEM 114C,579,3.226614853195164,327,CHEM,114,23
CHEM 116,144,3.3556250000000003,89,CHEM,116,24
CHEM 118,553,3.2560940325497287,281,CHEM,118,25
CHEM 120A,424,2.796108490566038,243,CHEM,120,26
CHEM 120B,121,2.66,121,CHEM,120,27
CHEM 126A,569,2.9589279437609846,273,CHEM,126,28
CHEM 126B,374,2.8283957219251334,268,CHEM,126,29
CHEM 130,216,2.803055555555556,106,CHEM,130,30
CHEM 131,196,2.64780612244898,103,CHEM,131,31
CHEM 132,174,2.7785057471264367,82,CHEM,132,32
CHEM 134,20,3.4300000000000006,20,CHEM,134,33
CHEM 142,453,3.73,324,CHEM,142,34
CHEM 143B,317,3.3411987381703474,165,CHEM,143,35
CHEM 143C,126,3.257222222222222,49,CHEM,143,36
CHEM 151,188,3.7851063829787237,86,CHEM,151,37
CHEM 152,104,3.572115384615384,74,CHEM,152,38
CHEM 157,117,3.1105128205128207,67,CHEM,157,39
CHEM 168,198,3.44,238,CHEM,168,40
CHEM 171,239,3.2296234309623433,108,CHEM,171,41
CHEM 172,81,3.33,47,CHEM,172,42
CHEM 173,148,3.477297297297297,58,CHEM,173,43
CHEM 174,73,3.0302739726027395,36,CHEM,174,44
