Course,Enroll,GPA,yearly_num,dept,num,index
CHIN 10AD,1068,3.582724719101124,35,CHIN,10,0
CHIN 10AM,870,3.5360229885057475,29,CHIN,10,1
CHIN 10AN,1578,3.400747782002535,69,CHIN,10,2
CHIN 10BD,1130,3.512557522123894,38,CHIN,10,3
CHIN 10BM,883,3.522944507361268,33,CHIN,10,4
CHIN 10BN,1191,3.431074727120067,49,CHIN,10,5
CHIN 10CD,1169,3.555782720273738,42,CHIN,10,6
CHIN 10CM,931,3.4989366272824918,31,CHIN,10,7
CHIN 10CN,1232,3.4153896103896106,40,CHIN,10,8
CHIN 20AD,971,3.5886714727085476,52,CHIN,20,9
CHIN 20AM,801,3.5453932584269663,43,CHIN,20,10
CHIN 20AN,1058,3.5621172022684306,51,CHIN,20,11
CHIN 20BD,378,3.574179894179894,11,CHIN,20,12
CHIN 20BM,338,3.4637278106508878,25,CHIN,20,13
CHIN 20BN,599,3.565075125208681,41,CHIN,20,14
CHIN 20CD,672,3.508809523809524,22,CHIN,20,15
CHIN 20CN,464,3.5324137931034483,35,CHIN,20,16
CHIN 100AM,284,3.492957746478873,15,CHIN,100,17
CHIN 100AN,63,3.4277777777777776,18,CHIN,100,18
CHIN 100BM,183,3.5809289617486337,12,CHIN,100,19
CHIN 100BN,56,3.5466071428571433,11,CHIN,100,20
CHIN 100CN,55,3.541818181818182,11,CHIN,100,21
CHIN 165A,128,3.44421875,16,CHIN,165,22
CHIN 185A,30,3.77,15,CHIN,185,23
