Course,Enroll,GPA,yearly_num,dept,num,index
COGS 1,2540,3.5837480314960626,1307,COGS,1,0
COGS 2,388,3.793298969072165,208,COGS,2,1
COGS 3,356,3.5751685393258428,172,COGS,3,2
COGS 8,68,3.423529411764706,35,COGS,8,3
COGS 9,1121,3.6719357716324708,559,COGS,9,4
COGS 10,1156,3.607128027681661,568,COGS,10,5
COGS 11,684,3.6028654970760234,285,COGS,11,6
COGS 12,93,3.5584946236559145,47,COGS,12,7
COGS 13,692,3.6122687861271676,245,COGS,13,8
COGS 14A,1118,3.13593023255814,883,COGS,14,9
COGS 14B,1060,3.290396226415094,542,COGS,14,10
COGS 15,237,3.5074261603375527,116,COGS,15,11
COGS 17,2137,3.492990173139916,1077,COGS,17,12
COGS 18,1422,3.3866455696202533,707,COGS,18,13
COGS 100,1168,3.6119178082191774,930,COGS,100,14
COGS 101A,1339,3.553076923076923,982,COGS,101,15
COGS 101B,719,3.5293463143254518,477,COGS,101,16
COGS 101C,868,3.3896543778801846,489,COGS,101,17
COGS 102C,195,3.79174358974359,109,COGS,102,18
COGS 107A,1496,3.251196524064171,946,COGS,107,19
COGS 107B,595,2.880436974789916,436,COGS,107,20
COGS 107C,253,3.800909090909091,138,COGS,107,21
COGS 108,2060,3.7467038834951456,1278,COGS,108,22
COGS 110,139,3.1242446043165466,68,COGS,110,23
COGS 115,53,3.41,58,COGS,115,24
COGS 116,145,3.322275862068966,145,COGS,116,25
COGS 118A,252,3.59,436,COGS,118,26
COGS 118B,625,3.5622239999999996,160,COGS,118,27
COGS 118C,68,3.45,68,COGS,118,28
COGS 120,310,3.5487096774193545,204,COGS,120,29
COGS 121,284,3.8811267605633795,138,COGS,121,30
COGS 122,100,3.622,56,COGS,122,31
COGS 123,158,3.68,322,COGS,123,32
COGS 124,21,3.6699999999999995,21,COGS,124,33
COGS 127,260,3.930846153846154,142,COGS,127,34
COGS 137,50,3.73,62,COGS,137,35
COGS 142,75,3.142,45,COGS,142,36
COGS 143,80,3.05825,42,COGS,143,37
COGS 152,38,2.32,19,COGS,152,38
COGS 153,163,3.174601226993865,75,COGS,153,39
COGS 156,68,3.54,69,COGS,156,40
COGS 160,54,3.44,21,COGS,160,41
COGS 163,118,3.7482203389830504,126,COGS,163,42
COGS 164,202,3.9298019801980195,102,COGS,164,43
COGS 165,68,3.8700000000000006,80,COGS,165,44
COGS 170,77,3.7899999999999996,77,COGS,170,45
COGS 172,153,3.3,155,COGS,172,46
COGS 178,138,3.857101449275362,73,COGS,178,47
COGS 184,103,2.993495145631068,50,COGS,184,48
COGS 187A,324,3.779691358024691,157,COGS,187,49
COGS 187B,213,3.6813145539906107,103,COGS,187,50
COGS 189,194,3.83,175,COGS,189,51
