Course,Enroll,GPA,yearly_num,dept,num,index
CSE 3,10374,3.3876286871023713,26,CSE,3,0
CSE 6R,137,2.81,137,CSE,6,1
CSE 8A,13002,3.278730964467005,1616,CSE,8,2
CSE 8B,8042,3.117184779905496,688,CSE,8,3
CSE 11,11222,3.3021680627339154,1360,CSE,11,4
CSE 12,14890,3.0888582941571525,1593,CSE,12,5
CSE 15L,15558,3.3345436431417923,1646,CSE,15,6
CSE 20,10993,3.105346129355044,986,CSE,20,7
CSE 21,12163,3.233873222066924,1020,CSE,21,8
CSE 30,11997,3.0234692006334916,1226,CSE,30,9
CSE 100,13768,3.0784631028471816,1461,CSE,100,10
CSE 101,11444,3.1536141209367354,1099,CSE,101,11
CSE 103,2114,3.371527909176916,97,CSE,103,12
CSE 105,9793,2.963916062493618,896,CSE,105,13
CSE 106,25,3.12,25,CSE,106,14
CSE 107,1111,3.128019801980198,238,CSE,107,15
CSE 110,8950,3.351425698324022,943,CSE,110,16
CSE 112,1112,3.4245233812949643,137,CSE,112,17
CSE 118,247,3.5573279352226725,12,CSE,118,18
CSE 120,8506,3.023164824829532,908,CSE,120,19
CSE 123,2230,2.9201076233183856,168,CSE,123,20
CSE 124,1433,3.3190579204466157,178,CSE,124,21
CSE 125,440,3.991,33,CSE,125,22
CSE 127,3692,3.1210590465872157,547,CSE,127,23
CSE 130,6194,3.274344526961576,506,CSE,130,24
CSE 131,3748,2.8442289220917822,52,CSE,131,25
CSE 132A,4229,3.0003263182785527,368,CSE,132,26
CSE 132B,713,3.4383590462833102,61,CSE,132,27
CSE 132C,95,3.5801052631578947,37,CSE,132,28
CSE 134B,2279,3.158657305835893,256,CSE,134,29
CSE 135,2518,3.1161596505162827,161,CSE,135,30
CSE 140,8352,3.1741391283524902,758,CSE,140,31
CSE 140L,7978,3.4914941087991975,751,CSE,140,32
CSE 141,6815,3.126149669845928,492,CSE,141,33
CSE 141L,6318,3.379855967078189,497,CSE,141,34
CSE 142,623,3.3415088282504017,317,CSE,142,35
CSE 142L,613,3.534910277324633,325,CSE,142,36
CSE 143,202,3.315148514851485,25,CSE,143,37
CSE 150B,927,3.795512405609493,340,CSE,150,38
CSE 151A,1504,3.773896276595745,379,CSE,151,39
CSE 151B,564,3.601382978723404,272,CSE,151,40
CSE 152A,559,3.66479427549195,317,CSE,152,41
CSE 152B,78,3.782564102564102,40,CSE,152,42
CSE 156,363,3.3940220385674937,161,CSE,156,43
CSE 158,2077,3.536615310544054,501,CSE,158,44
CSE 160,732,3.101516393442623,115,CSE,160,45
CSE 166,472,3.185084745762712,37,CSE,166,46
CSE 167,2164,3.329695009242144,289,CSE,167,47
CSE 168,299,3.3522073578595317,38,CSE,168,48
CSE 169,346,3.4836416184971104,39,CSE,169,49
CSE 170,1076,3.5844981412639405,108,CSE,170,50
CSE 175,114,3.310175438596491,68,CSE,175,51
CSE 176A,73,3.732876712328767,24,CSE,176,52
CSE 181,42,2.945,11,CSE,181,53
CSE 185,469,3.476780383795309,88,CSE,185,54
CSE 190,4028,3.524570506454816,127,CSE,190,55
CSE 191,717,3.800613668061367,43,CSE,191,56
CSE 193,202,3.826138613861386,56,CSE,193,57
CSE 194,98,3.649795918367347,44,CSE,194,58
