Course,Enroll,GPA,yearly_num,dept,num,index
DSC 10,3406,3.2024955960070467,839,DSC,10,0
DSC 20,1887,3.109093799682035,451,DSC,20,1
DSC 30,1470,2.9639931972789113,330,DSC,30,2
DSC 40A,1441,3.1334906315058983,367,DSC,40,3
DSC 40B,1154,3.359800693240901,290,DSC,40,4
DSC 80,1194,3.2937772194304857,296,DSC,80,5
DSC 100,939,3.7091799787007456,261,DSC,100,6
DSC 102,709,3.5796614950634695,136,DSC,102,7
DSC 106,753,3.5143293492695884,238,DSC,106,8
DSC 120,181,3.5718232044198897,24,DSC,120,9
DSC 140A,488,3.4044057377049177,235,DSC,140,10
DSC 161,51,3.6176470588235294,27,DSC,161,11
DSC 167,92,3.4349999999999996,46,DSC,167,12
DSC 170,145,3.7537931034482757,25,DSC,170,13
DSC 180A,656,3.7830182926829266,156,DSC,180,14
DSC 180B,429,3.933030303030303,155,DSC,180,15
DSC 190,648,3.722438271604938,308,DSC,190,16
