Course,Enroll,GPA,yearly_num,dept,num,index
ECE 5,429,3.5107459207459204,295,ECE,5,0
ECE 15,943,2.5571261930010603,498,ECE,15,1
ECE 16,139,3.431223021582734,60,ECE,16,2
ECE 17,279,3.1133333333333333,137,ECE,17,3
ECE 25,327,3.120703363914373,213,ECE,25,4
ECE 30,377,2.83551724137931,72,ECE,30,5
ECE 35,1057,2.6064711447492903,585,ECE,35,6
ECE 45,651,3.1205222734254994,421,ECE,45,7
ECE 65,644,2.8597670807453417,443,ECE,65,8
ECE 100,475,2.9986947368421055,225,ECE,100,9
ECE 101,576,2.9373958333333334,387,ECE,101,10
ECE 102,235,2.988936170212766,155,ECE,102,11
ECE 103,155,3.162516129032258,111,ECE,103,12
ECE 107,309,2.927540453074433,193,ECE,107,13
ECE 109,839,2.8118355184743744,482,ECE,109,14
ECE 111,624,3.498012820512821,388,ECE,111,15
ECE 121A,116,3.0451724137931033,60,ECE,121,16
ECE 121B,46,3.0199999999999996,43,ECE,121,17
ECE 123,89,3.0078651685393263,56,ECE,123,18
ECE 125A,57,2.88,59,ECE,125,19
ECE 125B,61,3.5421311475409833,32,ECE,125,20
ECE 128A,127,3.3853543307086613,67,ECE,128,21
ECE 128B,60,3.6600000000000006,66,ECE,128,22
ECE 128C,110,3.8005454545454547,76,ECE,128,23
ECE 134,39,3.38,39,ECE,134,24
ECE 135A,20,2.87,13,ECE,135,25
ECE 140A,200,3.3,190,ECE,140,26
ECE 140B,216,3.573888888888889,116,ECE,140,27
ECE 141A,77,2.72,38,ECE,141,28
ECE 141B,78,3.2838461538461536,42,ECE,141,29
ECE 143,392,3.8626530612244894,196,ECE,143,30
ECE 144,56,3.5542857142857147,53,ECE,144,31
ECE 148,24,3.9599999999999995,60,ECE,148,32
ECE 150,77,3.3663636363636367,37,ECE,150,33
ECE 158A,87,3.225402298850575,40,ECE,158,34
ECE 161A,129,2.7314728682170544,62,ECE,161,35
ECE 161B,51,3.07,29,ECE,161,36
ECE 161C,94,3.588936170212766,52,ECE,161,37
ECE 163,128,3.35140625,62,ECE,163,38
ECE 164,205,2.819560975609756,94,ECE,164,39
ECE 165,150,3.1456000000000004,72,ECE,165,40
ECE 166,195,2.7346153846153847,90,ECE,166,41
ECE 171A,284,3.506267605633803,125,ECE,171,42
ECE 171B,62,3.274193548387097,30,ECE,171,43
ECE 172A,103,3.22,86,ECE,172,44
ECE 174,201,2.764427860696517,88,ECE,174,45
ECE 175A,99,2.88,69,ECE,175,46
ECE 175B,49,3.2699999999999996,49,ECE,175,47
ECE 180,32,3.84,32,ECE,180,48
ECE 191,25,3.42,25,ECE,191,49
