Course,Enroll,GPA,yearly_num,dept,num,index
ECON 1,3078,3.1061923326835603,1522,ECON,1,0
ECON 2,640,2.922421875,313,ECON,2,1
ECON 3,1340,2.8218880597014926,594,ECON,3,2
ECON 4,1163,2.8097678417884784,585,ECON,4,3
ECON 5,1113,3.2081850853548968,713,ECON,5,4
ECON 100A,2205,2.6363628117913835,1160,ECON,100,5
ECON 100B,1781,2.8414373947220666,1019,ECON,100,6
ECON 100C,1077,2.9290529247910864,516,ECON,100,7
ECON 105,95,2.880631578947369,31,ECON,105,8
ECON 109,538,2.8735315985130114,266,ECON,109,9
ECON 110A,1112,2.8245413669064745,343,ECON,110,10
ECON 110B,1445,2.8843737024221454,764,ECON,110,11
ECON 111,239,2.9186192468619243,183,ECON,111,12
ECON 116,188,3.063191489361702,62,ECON,116,13
ECON 120A,2101,2.807491670633032,1120,ECON,120,14
ECON 120B,1777,2.864895891952729,975,ECON,120,15
ECON 120BH,20,4.0,20,ECON,120,16
ECON 120C,1061,2.8632045240339306,483,ECON,120,17
ECON 121,76,3.2173684210526314,49,ECON,121,18
ECON 125,78,2.6914102564102564,35,ECON,125,19
ECON 129,128,2.895390625,46,ECON,129,20
ECON 130,140,3.045142857142857,72,ECON,130,21
ECON 131,636,3.0334748427672955,310,ECON,131,22
ECON 132,173,3.14,88,ECON,132,23
ECON 134,45,3.23,45,ECON,134,24
ECON 138,1045,2.8123636363636364,225,ECON,138,25
ECON 142,65,3.0144615384615383,44,ECON,142,26
ECON 145,377,3.01,225,ECON,145,27
ECON 146,245,2.863061224489796,110,ECON,146,28
ECON 147,85,2.54,85,ECON,147,29
ECON 151,197,3.143807106598985,93,ECON,151,30
ECON 152,181,3.2293370165745854,90,ECON,152,31
ECON 164,87,2.9700000000000006,87,ECON,164,32
ECON 168,251,3.186175298804781,251,ECON,168,33
ECON 172A,268,2.8536194029850748,61,ECON,172,34
ECON 172B,200,2.9665,50,ECON,172,35
ECON 173B,180,2.888666666666667,58,ECON,173,36
ECON 178,149,3.163691275167785,51,ECON,178,37
ECON 183,86,3.54,86,ECON,183,38
