Course,Enroll,GPA,yearly_num,dept,num,index
EDS 39,44,4.0,24,EDS,39,0
EDS 102,89,3.98123595505618,50,EDS,102,1
EDS 103,81,3.587901234567901,58,EDS,103,2
EDS 110R,114,3.408421052631579,50,EDS,110,3
EDS 111,96,3.8125,54,EDS,111,4
EDS 112,168,3.598095238095238,56,EDS,112,5
EDS 113,175,3.7376,104,EDS,113,6
EDS 114,117,3.4205128205128204,84,EDS,114,7
EDS 115,162,3.7774074074074075,121,EDS,115,8
EDS 116,98,3.892857142857143,39,EDS,116,9
EDS 117,540,3.7659444444444445,208,EDS,117,10
EDS 118,192,3.8236458333333334,118,EDS,118,11
EDS 119,57,2.8131578947368423,30,EDS,119,12
EDS 124AR,556,3.6499640287769783,277,EDS,124,13
EDS 124BR,846,3.639539007092199,410,EDS,124,14
EDS 125,227,3.472511013215859,168,EDS,125,15
EDS 128A,46,3.84,43,EDS,128,16
EDS 128B,97,3.746288659793814,44,EDS,128,17
EDS 129A,94,3.897659574468085,51,EDS,129,18
EDS 129B,97,3.849896907216495,53,EDS,129,19
EDS 129C,84,3.965357142857143,43,EDS,129,20
EDS 130,219,3.8050684931506846,129,EDS,130,21
EDS 131,23,3.8099999999999996,23,EDS,131,22
EDS 133,65,3.8053846153846154,78,EDS,133,23
EDS 136,153,3.715686274509804,62,EDS,136,24
EDS 140,29,3.75,19,EDS,140,25
EDS 141,25,3.8,25,EDS,141,26
EDS 145,22,3.9600000000000004,22,EDS,145,27
EDS 164R,83,3.383253012048193,50,EDS,164,28
