Course,GPA,yearly_num,dept,num,index
BENG 2,3.4421243523316063,23,BENG,2,0
ENG 10,3.8849573863636366,126,ENG,10,1
CENG 15,3.3389720332577477,112,CENG,15,2
ENG 20,3.8603846153846155,23,ENG,20,3
BENG 100,3.099039019671074,181,BENG,100,4
CENG 100,3.0840518816222144,112,CENG,100,5
ENG 100,3.5738578680203044,0,ENG,100,6
ENG 100A,3.6405476864966952,0,ENG,100,7
ENG 100B,3.943298969072165,0,ENG,100,8
ENG 100D,3.7410803226937914,263,ENG,100,9
ENG 100L,3.9151767676767677,0,ENG,100,10
BENG 101,3.107266272189349,0,BENG,101,11
CENG 101A,2.9418667386026436,162,CENG,101,12
CENG 101B,3.0813281249999998,105,CENG,101,13
CENG 101C,3.1455882352941176,94,CENG,101,14
BENG 102,3.6342228739002933,45,BENG,102,15
CENG 102,3.159532660647902,109,CENG,102,16
BENG 103B,3.2108959537572255,99,BENG,103,17
BENG 104GS,3.52,0,BENG,104,18
BENG 105GS,3.1699999999999995,0,BENG,105,19
BENG 109,3.044819427148194,0,BENG,109,20
BENG 110,3.203780332056194,87,BENG,110,21
BENG 112A,3.310092850510678,48,BENG,112,22
BENG 112B,3.2382317682317683,45,BENG,112,23
CENG 113,3.0933990410229084,116,CENG,113,24
CENG 114,3.1772983479105927,93,CENG,114,25
BENG 119A,3.7273548387096773,0,BENG,119,26
BENG 119B,3.907735849056604,0,BENG,119,27
BENG 120,3.570893760539629,59,BENG,120,28
CENG 120,3.1478400503778334,136,CENG,120,29
BENG 122A,3.264792960662526,57,BENG,122,30
CENG 122,3.1839447236180907,139,CENG,122,31
BENG 123,3.0887742594484164,74,BENG,123,32
CENG 124A,3.572894280762565,137,CENG,124,33
CENG 124B,3.6919049694856145,137,CENG,124,34
BENG 125,3.411641933939684,147,BENG,125,35
BENG 126A,3.823170731707317,32,BENG,126,36
BENG 126B,3.886019417475728,33,BENG,126,37
BENG 127A,3.89,0,BENG,127,38
BENG 127B,3.92,0,BENG,127,39
BENG 128A,3.85,0,BENG,128,40
BENG 128B,4.0,0,BENG,128,41
BENG 129A,3.95,0,BENG,129,42
BENG 129B,3.8785714285714286,0,BENG,129,43
BENG 130,3.3312317410185552,130,BENG,130,44
BENG 133,3.506923076923077,38,BENG,133,45
BENG 134,3.4490547263681592,32,BENG,134,46
CENG 134,3.204642082429501,78,CENG,134,47
BENG 135,3.5109375000000003,0,BENG,135,48
BENG 139A,3.6199999999999997,0,BENG,139,49
BENG 139B,3.93,0,BENG,139,50
BENG 140A,3.3150710108604846,96,BENG,140,51
BENG 140B,3.2951559454191033,76,BENG,140,52
BENG 141,3.671589743589744,40,BENG,141,53
BENG 147A,3.81,0,BENG,147,54
BENG 147B,3.68,0,BENG,147,55
BENG 152,3.6785470085470084,21,BENG,152,56
CENG 157,3.3746855345911952,54,CENG,157,57
BENG 160,3.629777983348751,64,BENG,160,58
BENG 161A,3.3029260450160773,63,BENG,161,59
BENG 161B,3.3304892703862663,61,BENG,161,60
BENG 162,3.5845294117647057,58,BENG,162,61
BENG 166A,3.4217065868263474,71,BENG,166,62
BENG 168,3.5298651863600314,98,BENG,168,63
BENG 169A,3.9342028985507254,21,BENG,169,64
BENG 169B,3.9482857142857144,21,BENG,169,65
BENG 172,3.435153374233129,86,BENG,172,66
CENG 175,3.5224,24,CENG,175,67
CENG 176A,3.556996397894153,134,CENG,176,68
CENG 176B,3.6520474910394265,134,CENG,176,69
BENG 179A,3.8543678160919543,36,BENG,179,70
BENG 179B,3.8732748538011696,36,BENG,179,71
BENG 181,3.311044776119403,0,BENG,181,72
BENG 182,3.3025541125541125,22,BENG,182,73
BENG 183,3.666818897637795,76,BENG,183,74
BENG 186A,3.0473133595284874,105,BENG,186,75
BENG 186B,3.286788732394366,61,BENG,186,76
BENG 187A,3.7170877944325484,140,BENG,187,77
BENG 187B,3.789020737327189,0,BENG,187,78
BENG 187C,3.7904282407407406,0,BENG,187,79
BENG 187D,3.8616403785488957,143,BENG,187,80
BENG 189,3.6814649681528664,0,BENG,189,81
BENG 191,3.8055913978494624,0,BENG,191,82
BENG 193,3.9254545454545453,0,BENG,193,83
