Course,Enroll,GPA,yearly_num,dept,num,index
GLBH 20,1778,3.5277277840269967,461,GLBH,20,0
GLBH 100,460,3.793282608695652,84,GLBH,100,1
GLBH 101,85,3.6976470588235295,33,GLBH,101,2
GLBH 102,138,3.586521739130435,71,GLBH,102,3
GLBH 103,113,3.7775221238938053,58,GLBH,103,4
GLBH 106,21,3.6699999999999995,17,GLBH,106,5
GLBH 107,36,3.76,36,GLBH,107,6
GLBH 111,345,3.8954202898550725,91,GLBH,111,7
GLBH 112,61,3.87,61,GLBH,112,8
GLBH 113,136,3.7263235294117645,42,GLBH,113,9
GLBH 114,35,3.59,35,GLBH,114,10
GLBH 139,47,3.6242553191489364,27,GLBH,139,11
GLBH 141,38,4.0,19,GLBH,141,12
GLBH 147,135,3.7038518518518515,54,GLBH,147,13
GLBH 148,1843,3.6061421595225176,427,GLBH,148,14
GLBH 150,198,3.486666666666667,123,GLBH,150,15
GLBH 150A,129,3.855271317829457,15,GLBH,150,16
GLBH 150B,128,3.7778906250000004,15,GLBH,150,17
GLBH 160,300,3.3436000000000003,70,GLBH,160,18
GLBH 171R,31,3.91,16,GLBH,171,19
GLBH 181,2464,3.664277597402598,573,GLBH,181,20
