Course,Enroll,GPA,yearly_num,dept,num,index
HDS 1,709,3.3742736248236955,395,HDS,1,0
HDS 60,181,3.0480662983425417,111,HDS,60,1
HDS 110,149,3.2976510067114098,78,HDS,110,2
HDS 111,107,2.9068224299065424,55,HDS,111,3
HDS 120,153,3.723856209150327,73,HDS,120,4
HDS 121,71,3.198169014084507,39,HDS,121,5
HDS 122,160,3.9158749999999998,94,HDS,122,6
HDS 133,182,3.51967032967033,102,HDS,133,7
HDS 150,20,3.9300000000000006,27,HDS,150,8
HDS 173,248,3.8246370967741936,125,HDS,173,9
HDS 181,113,3.406991150442478,68,HDS,181,10
HDS 191,22,2.74,37,HDS,191,11
