Course,Enroll,GPA,yearly_num,dept,num,index
HIEA 112,878,3.2461958997722093,124,HIEA,112,0
HIEA 114,404,3.168143564356436,74,HIEA,114,1
HIEA 115,700,3.4068714285714283,97,HIEA,115,2
HIEA 124,114,3.012368421052632,44,HIEA,124,3
HIEA 131,638,3.2644984326018807,74,HIEA,131,4
HIEA 137,826,2.916053268765133,48,HIEA,137,5
HIEA 138,245,2.9076326530612246,31,HIEA,138,6
HIEA 140R,24,3.23,24,HIEA,140,7
HIEA 144,242,3.2957851239669425,30,HIEA,144,8
HIEA 153,205,3.1862926829268288,47,HIEA,153,9
HIEA 154,68,3.07,68,HIEA,154,10
