Course,Enroll,GPA,yearly_num,dept,num,index
HIEU 102,235,3.058085106382979,119,HIEU,102,0
HIEU 103,99,2.98,99,HIEU,103,1
HIEU 107,98,3.4783673469387755,50,HIEU,107,2
HIEU 108,65,3.43,65,HIEU,108,3
HIEU 111,53,3.46,53,HIEU,111,4
HIEU 114,124,3.7643548387096772,69,HIEU,114,5
HIEU 116C,49,3.4300000000000006,49,HIEU,116,6
HIEU 120,50,3.63,50,HIEU,120,7
HIEU 123,25,3.41,25,HIEU,123,8
HIEU 128,155,2.955935483870968,48,HIEU,128,9
HIEU 139,53,3.63,53,HIEU,139,10
HIEU 144,118,3.5047457627118646,46,HIEU,144,11
HIEU 146,64,3.11,64,HIEU,146,12
HIEU 149,58,2.75,58,HIEU,149,13
HIEU 150,91,2.8843956043956047,91,HIEU,150,14
HIEU 154,114,3.303508771929825,68,HIEU,154,15
