Course,index,GPA,yearly_num,dept
HILA 100,0,3.035386416861827,0,HILA
HILA 101,1,3.1924860335195535,48,HILA
HILA 102,2,3.2752661064425768,47,HILA
HILA 103,3,3.72752380952381,0,HILA
HILA 112,4,3.06,0,HILA
HILA 113,5,3.090204081632653,0,HILA
HILA 114,6,3.290104166666667,0,HILA
HILA 115,7,3.46,0,HILA
HILA 118,8,3.212117647058823,0,HILA
HILA 119,9,3.4,0,HILA
HILA 120,10,2.8595209580838326,0,HILA
HILA 121B,11,3.555026455026455,52,HILA
HILA 121,12,3.3710967741935485,0,HILA
HILA 121A,13,3.6328358208955223,0,HILA
HILA 122,14,3.3710989010989008,0,HILA
HILA 123,15,3.092048192771084,0,HILA
HILA 124,16,3.8,0,HILA
HILA 124A,17,3.6,0,HILA
HILA 131,18,3.2107556675062976,0,HILA
HILA 132,19,3.3473765432098768,0,HILA
HILA 132D,20,3.34,0,HILA
HILA 133S,21,3.3,0,HILA
HILA 144,22,3.6384285714285713,0,HILA
HILA 145,23,2.98,0,HILA
