Course,Enroll,GPA,yearly_num,dept,num,index
HILD 2A,362,3.395,181,HILD,2,0
HILD 2B,148,3.29,178,HILD,2,1
HILD 2C,361,3.214459833795014,181,HILD,2,2
HILD 7A,741,3.7811875843454787,376,HILD,7,3
HILD 7B,737,3.7211397557666213,372,HILD,7,4
HILD 7C,712,3.7695084269662926,373,HILD,7,5
HILD 10,369,3.355772357723577,185,HILD,10,6
HILD 11,164,3.25,173,HILD,11,7
HILD 12,321,3.5216199376947044,158,HILD,12,8
HILD 30,126,3.4504761904761905,62,HILD,30,9
HILD 41,58,3.35,58,HILD,41,10
HILD 42,63,3.29,54,HILD,42,11
HILD 43,45,3.1,45,HILD,43,12
