Course,GPA,yearly_num,dept,num,index
HINE 100,3.6145977011494255,0,HINE,100,0
HINE 101,2.77,0,HINE,101,1
HINE 102,2.995734265734266,0,HINE,102,2
HINE 103,3.294719101123596,0,HINE,103,3
HINE 104,3.04,0,HINE,104,4
HINE 107,3.4320246478873235,0,HINE,107,5
HINE 108,2.970944444444444,0,HINE,108,6
HINE 109,3.310909090909091,72,HINE,109,7
HINE 111,3.17,0,HINE,111,8
HINE 112A,3.4317567567567564,0,HINE,112,9
HINE 113,3.178655462184874,0,HINE,113,10
HINE 114,3.1826183282980867,0,HINE,114,11
HINE 115,3.47,0,HINE,115,12
HINE 116,3.287068723702665,54,HINE,116,13
HINE 118,3.2258595387840674,33,HINE,118,14
HINE 119,3.3559961315280464,45,HINE,119,15
HINE 120,3.49058064516129,44,HINE,120,16
HINE 126,3.2303821656050955,0,HINE,126,17
HINE 127,3.5083734939759035,0,HINE,127,18
HINE 144,3.214193548387097,26,HINE,144,19
HINE 145,3.4219354838709677,75,HINE,145,20
