Course,GPA,yearly_num,dept,num,index
HISC 102,3.85,0,HISC,102,0
HISC 104,3.259439655172414,0,HISC,104,1
HISC 105,3.7800000000000002,0,HISC,105,2
HISC 106,3.0709883720930233,0,HISC,106,3
HISC 107,3.196376582278481,48,HISC,107,4
HISC 108,3.3229050279329613,77,HISC,108,5
HISC 109,3.65432,47,HISC,109,6
HISC 110,2.8937931034482753,0,HISC,110,7
HISC 111,3.140820610687023,0,HISC,111,8
HISC 114,3.3481818181818186,0,HISC,114,9
HISC 115,3.4327567567567567,114,HISC,115,10
HISC 116,3.411808035714286,0,HISC,116,11
HISC 117,3.5241666666666664,0,HISC,117,12
HISC 119,3.730328947368421,50,HISC,119,13
HISC 130,3.37,0,HISC,130,14
HISC 131,3.229575221238938,50,HISC,131,15
HISC 144,3.24,0,HISC,144,16
