Course,GPA,yearly_num,dept,num,index
HITO 100,3.5366666666666666,84,HITO,100,0
HITO 104,3.141214953271028,0,HITO,104,1
HITO 105,3.3518,0,HITO,105,2
HITO 107,3.9,0,HITO,107,3
HITO 114,3.478461538461539,0,HITO,114,4
HITO 117,3.72,0,HITO,117,5
HITO 119,3.4632903225806446,15,HITO,119,6
HITO 124,3.2816455696202533,0,HITO,124,7
HITO 126,3.3763428571428573,0,HITO,126,8
HITO 133,3.2823746701846965,51,HITO,133,9
HITO 134,3.1,0,HITO,134,10
HITO 136,3.5113084112149537,0,HITO,136,11
HITO 140,3.46,0,HITO,140,12
HITO 155,3.593941798941799,0,HITO,155,13
HITO 156,3.57,0,HITO,156,14
HITO 156GS,3.76,0,HITO,156,15
