Course,Enroll,GPA,yearly_num,dept,num,index
HIUS 103,85,3.8194117647058823,50,HIUS,103,0
HIUS 106,43,3.65,43,HIUS,106,1
HIUS 108B,56,3.91,56,HIUS,108,2
HIUS 112,305,3.502295081967213,158,HIUS,112,3
HIUS 113,25,3.1,25,HIUS,113,4
HIUS 125,44,3.807045454545454,23,HIUS,125,5
HIUS 133,258,3.2455038759689923,130,HIUS,133,6
HIUS 136,50,2.83,50,HIUS,136,7
HIUS 137,22,3.3100000000000005,22,HIUS,137,8
HIUS 144,314,3.7021656050955416,147,HIUS,144,9
HIUS 152A,103,3.6680582524271843,58,HIUS,152,10
HIUS 152B,108,3.717314814814815,59,HIUS,152,11
HIUS 155,51,3.8,51,HIUS,155,12
HIUS 157,156,3.7311538461538456,54,HIUS,157,13
