Course,Enroll,GPA,yearly_num,dept,num,index
LIGN 5,151,2.996092715231788,81,LIGN,5,0
LIGN 7,458,3.2406768558951966,235,LIGN,7,1
LIGN 8,1461,3.5676591375770017,756,LIGN,8,2
LIGN 17,1216,3.0512088815789475,718,LIGN,17,3
LIGN 101,644,3.5381677018633537,277,LIGN,101,4
LIGN 108,31,3.11,31,LIGN,108,5
LIGN 110,193,3.523523316062176,103,LIGN,110,6
LIGN 111,142,3.298169014084507,79,LIGN,111,7
LIGN 113,77,3.06,77,LIGN,113,8
LIGN 119,110,3.260909090909091,50,LIGN,119,9
LIGN 120,141,3.323404255319149,66,LIGN,120,10
LIGN 121,182,3.0957142857142856,107,LIGN,121,11
LIGN 130,150,2.6919999999999997,80,LIGN,130,12
LIGN 142,53,3.2464150943396226,23,LIGN,142,13
LIGN 143,22,3.33,22,LIGN,143,14
LIGN 150,35,3.26,35,LIGN,150,15
LIGN 152,20,3.34,20,LIGN,152,16
LIGN 154,21,2.89,9,LIGN,154,17
LIGN 165,148,2.9246621621621625,81,LIGN,165,18
LIGN 167,186,3.5356451612903226,97,LIGN,167,19
LIGN 171,54,3.3,54,LIGN,171,20
LIGN 175,53,3.56,53,LIGN,175,21
LIGN 179,23,3.03,23,LIGN,179,22
LIGN 180,57,3.11,57,LIGN,180,23
