Course,GPA,yearly_num,dept,num,index
LTCS 50,3.6435390946502064,0,LTCS,50,0
LTCS 52,3.556106032906764,38,LTCS,52,1
LTCS 100,3.3424778761061944,39,LTCS,100,2
LTCS 102,3.95,0,LTCS,102,3
LTCS 110,3.4672284644194757,0,LTCS,110,4
LTCS 110GS,4.0,0,LTCS,110,5
LTCS 111,3.6210416666666667,0,LTCS,111,6
LTCS 111GS,3.97,0,LTCS,111,7
LTCS 119,3.5727450980392153,0,LTCS,119,8
LTCS 125,3.96,0,LTCS,125,9
LTCS 130,3.5376623376623373,83,LTCS,130,10
LTCS 131,3.5016346153846154,0,LTCS,131,11
LTCS 132,3.74672131147541,0,LTCS,132,12
LTCS 133,3.5879268292682926,0,LTCS,133,13
LTCS 150,3.2248076923076923,0,LTCS,150,14
LTCS 165,3.912907488986784,0,LTCS,165,15
LTCS 170,3.680220588235294,0,LTCS,170,16
LTCS 172,3.34,0,LTCS,172,17
