Course,GPA,yearly_num,dept,num,index
LTEA 100A,3.2368,0,LTEA,100,0
LTEA 100B,3.490425531914893,38,LTEA,100,1
LTEA 100C,3.36,0,LTEA,100,2
LTEA 110A,3.3023404255319146,76,LTEA,110,3
LTEA 110B,3.5834991708126034,0,LTEA,110,4
LTEA 110C,3.597095310136157,74,LTEA,110,5
LTEA 120A,3.477864281956865,320,LTEA,120,6
LTEA 120B,3.2607016683022567,208,LTEA,120,7
LTEA 120C,3.451393629124005,0,LTEA,120,8
LTEA 132,3.694204081632653,108,LTEA,132,9
LTEA 138,3.8801378122308354,315,LTEA,138,10
LTEA 138GS,4.0,0,LTEA,138,11
LTEA 140,3.413954545454545,0,LTEA,140,12
LTEA 141,3.5573469387755106,35,LTEA,141,13
LTEA 142,3.653623853211009,0,LTEA,142,14
LTEA 143,3.6588699360341153,0,LTEA,143,15
LTEA 144,3.6830337078651687,0,LTEA,144,16
