Course,Enroll,GPA,yearly_num,dept,num,index
LTEN 21,1074,3.232476722532588,64,LTEN,21,0
LTEN 22,903,3.3879623477297893,63,LTEN,22,1
LTEN 23,810,3.261913580246914,50,LTEN,23,2
LTEN 25,780,3.36874358974359,50,LTEN,25,3
LTEN 26,908,3.3979515418502206,68,LTEN,26,4
LTEN 27,1207,3.265169842584921,63,LTEN,27,5
LTEN 28,1662,3.401383874849579,123,LTEN,28,6
LTEN 29,1306,3.3322358346094942,63,LTEN,29,7
LTEN 107,206,3.564077669902913,34,LTEN,107,8
LTEN 112,419,3.4347016706443916,39,LTEN,112,9
LTEN 130GS,28,3.7399999999999998,28,LTEN,130,10
LTEN 142,203,3.5036453201970446,68,LTEN,142,11
LTEN 144,79,3.261898734177215,39,LTEN,144,12
LTEN 148,441,3.50453514739229,48,LTEN,148,13
LTEN 149,309,3.7321035598705503,84,LTEN,149,14
LTEN 153,91,3.578791208791209,38,LTEN,153,15
LTEN 171,46,3.395217391304348,46,LTEN,171,16
LTEN 176,487,3.2426078028747436,24,LTEN,176,17
LTEN 179,29,3.74,29,LTEN,179,18
LTEN 180,40,3.7700000000000005,38,LTEN,180,19
LTEN 181,647,3.645919629057187,125,LTEN,181,20
LTEN 183,153,3.438562091503268,26,LTEN,183,21
LTEN 185,434,3.4793778801843316,60,LTEN,185,22
LTEN 189,43,3.439767441860466,29,LTEN,189,23
