Course,Enroll,GPA,yearly_num,dept,num,index
LTSP 2A,146,3.4623972602739723,118,LTSP,2,0
LTSP 2B,248,3.4906854838709678,128,LTSP,2,1
LTSP 2C,355,3.381183098591549,147,LTSP,2,2
LTSP 2D,97,3.5348453608247423,65,LTSP,2,3
LTSP 2E,118,3.516186440677966,47,LTSP,2,4
LTSP 100A,22,3.6899999999999995,22,LTSP,100,5
LTSP 100B,24,3.2999999999999994,24,LTSP,100,6
LTSP 116,35,3.53,28,LTSP,116,7
LTSP 123,140,3.6272857142857142,30,LTSP,123,8
LTSP 140,221,3.432941176470588,12,LTSP,140,9
LTSP 171,183,3.5692896174863384,15,LTSP,171,10
LTSP 174,302,3.5688741721854305,16,LTSP,174,11
LTSP 175,203,3.3570935960591135,21,LTSP,175,12
