Course,Enroll,GPA,yearly_num,dept,num,index
LTWL 19A,37,3.47,37,LTWL,19,0
LTWL 19B,39,3.09,39,LTWL,19,1
LTWL 100,119,3.436890756302521,31,LTWL,100,2
LTWL 110B,36,3.73,36,LTWL,110,3
LTWL 114,38,3.4,38,LTWL,114,4
LTWL 116,49,3.13,49,LTWL,116,5
LTWL 120,109,3.5317431192660553,40,LTWL,120,6
LTWL 123,38,3.65,38,LTWL,123,7
LTWL 124,59,3.8,59,LTWL,124,8
LTWL 128,21,3.56,17,LTWL,128,9
LTWL 155,49,3.9244897959183676,24,LTWL,155,10
LTWL 165,31,3.69,31,LTWL,165,11
LTWL 172,162,3.811543209876543,40,LTWL,172,12
LTWL 180,116,3.663793103448276,76,LTWL,180,13
LTWL 184,31,3.25,41,LTWL,184,14
