Course,Enroll,GPA,yearly_num,dept,num,index
LTWR 8A,290,3.4568620689655174,191,LTWR,8,0
LTWR 8B,253,3.837114624505929,100,LTWR,8,1
LTWR 8C,277,3.565090252707581,217,LTWR,8,2
LTWR 100,90,3.5336666666666665,51,LTWR,100,3
LTWR 102,68,3.690294117647059,37,LTWR,102,4
LTWR 106,45,3.8966666666666665,22,LTWR,106,5
LTWR 110,48,3.505625,29,LTWR,110,6
LTWR 115,96,3.7591666666666668,47,LTWR,115,7
LTWR 119,50,3.64,30,LTWR,119,8
LTWR 120,23,3.38,15,LTWR,120,9
LTWR 122,23,3.85,37,LTWR,122,10
LTWR 126,67,3.5764179104477614,22,LTWR,126,11
LTWR 140,78,3.4694871794871793,28,LTWR,140,12
LTWR 143,31,3.34,31,LTWR,143,13
LTWR 194,46,3.9521739130434783,26,LTWR,194,14
