Course,Enroll,GPA,yearly_num,dept,num,index
MAE 2,296,3.233006756756757,148,MAE,2,0
MAE 3,780,3.364038461538461,413,MAE,3,1
MAE 8,998,3.1892184368737477,574,MAE,8,2
MAE 11,510,2.90756862745098,246,MAE,11,3
MAE 20,412,3.2597330097087385,291,MAE,20,4
MAE 21,223,3.585156950672646,116,MAE,21,5
MAE 30A,411,3.0749391727493918,352,MAE,30,6
MAE 30B,453,2.8822295805739517,299,MAE,30,7
MAE 40,315,2.9858730158730156,199,MAE,40,8
MAE 94,26,4.0,26,MAE,94,9
MAE 101A,373,3.142895442359249,291,MAE,101,10
MAE 101B,358,2.99622905027933,286,MAE,101,11
MAE 101C,251,3.170796812749004,251,MAE,101,12
MAE 104,184,3.3289130434782606,121,MAE,104,13
MAE 105,525,3.133980952380952,254,MAE,105,14
MAE 107,582,2.9713745704467356,275,MAE,107,15
MAE 108,208,3.3017307692307694,105,MAE,108,16
MAE 113,183,3.2502732240437155,101,MAE,113,17
MAE 118,45,2.71,45,MAE,118,18
MAE 122,102,2.96764705882353,42,MAE,122,19
MAE 130,53,3.144528301886792,31,MAE,130,20
MAE 131A,579,2.91720207253886,349,MAE,131,21
MAE 131B,112,3.1892857142857145,105,MAE,131,22
MAE 142,84,3.47,118,MAE,142,23
MAE 143A,616,2.832207792207792,350,MAE,143,24
MAE 143B,412,3.1292961165048543,288,MAE,143,25
MAE 144,75,3.4393333333333334,41,MAE,144,26
MAE 146,46,3.61,34,MAE,146,27
MAE 148,27,3.89,59,MAE,148,28
MAE 150,429,3.0966200466200466,236,MAE,150,29
MAE 155A,155,3.731612903225807,94,MAE,155,30
MAE 155B,191,3.820314136125655,72,MAE,155,31
MAE 156A,132,3.3605303030303033,292,MAE,156,32
MAE 156B,256,3.77609375,115,MAE,156,33
MAE 160,202,3.612128712871287,63,MAE,160,34
MAE 166,47,3.75,47,MAE,166,35
MAE 170,897,3.667826086956522,461,MAE,170,36
MAE 171A,111,3.5499999999999994,162,MAE,171,37
MAE 175A,74,3.7299999999999995,92,MAE,175,38
MAE 180A,396,3.06280303030303,269,MAE,180,39
MAE 181,114,3.203157894736842,55,MAE,181,40
MAE 184,44,3.5600000000000005,44,MAE,184,41
MAE 190,97,3.575257731958763,118,MAE,190,42
MAE 191,20,3.78,20,MAE,191,43
