Course,Enroll,GPA,yearly_num,dept,num,index
MATH 2,460,2.089782608695652,283,MATH,2,0
MATH 3C,2518,2.92241461477363,1380,MATH,3,1
MATH 4C,827,3.2131197097944377,442,MATH,4,2
MATH 10A,4599,2.7812763644270495,2343,MATH,10,3
MATH 10B,4753,2.6942204923206394,2254,MATH,10,4
MATH 10C,2251,2.7539004886717016,1109,MATH,10,5
MATH 11,3271,2.9942983797003975,1512,MATH,11,6
MATH 18,5392,3.0205786350148367,2598,MATH,18,7
MATH 20A,2572,2.8997900466562987,1225,MATH,20,8
MATH 20B,3604,2.9456021087680355,1430,MATH,20,9
MATH 20C,5266,3.2512969996202052,2218,MATH,20,10
MATH 20D,3679,3.150981244903506,1772,MATH,20,11
MATH 20E,3608,3.068062638580931,1774,MATH,20,12
MATH 31AH,108,3.3203703703703704,52,MATH,31,13
MATH 31BH,67,3.4653731343283583,30,MATH,31,14
MATH 31CH,63,3.465555555555556,25,MATH,31,15
MATH 95,85,3.7496470588235296,29,MATH,95,16
MATH 100A,216,2.897453703703704,94,MATH,100,17
MATH 100B,133,3.3979699248120303,59,MATH,100,18
MATH 100C,73,3.263835616438356,31,MATH,100,19
MATH 102,1198,2.9663689482470783,538,MATH,102,20
MATH 103A,820,2.9025365853658536,429,MATH,103,21
MATH 103B,709,2.7919746121297604,390,MATH,103,22
MATH 105,68,3.0149999999999997,30,MATH,105,23
MATH 109,1959,2.9834252169474222,996,MATH,109,24
MATH 110,79,2.3002531645569624,41,MATH,110,25
MATH 111A,85,3.8731764705882354,28,MATH,111,26
MATH 114,39,2.91,39,MATH,114,27
MATH 120A,244,2.9717622950819673,126,MATH,120,28
MATH 120B,96,3.3862500000000004,46,MATH,120,29
MATH 121A,46,2.859565217391305,22,MATH,121,30
MATH 130,131,3.123358778625954,69,MATH,130,31
MATH 140A,315,2.6929523809523808,150,MATH,140,32
MATH 140B,187,2.945614973262032,105,MATH,140,33
MATH 140C,75,3.1819999999999995,24,MATH,140,34
MATH 142A,612,2.7571241830065363,315,MATH,142,35
MATH 142B,537,2.9179702048417133,285,MATH,142,36
MATH 146,25,3.42,25,MATH,146,37
MATH 150A,38,2.71,18,MATH,150,38
MATH 153,53,2.8573584905660376,20,MATH,153,39
MATH 154,1107,3.0571725383920505,609,MATH,154,40
MATH 155A,137,3.032189781021898,56,MATH,155,41
MATH 157,199,3.1792462311557794,97,MATH,157,42
MATH 158,26,2.56,26,MATH,158,43
MATH 160A,77,3.105974025974026,36,MATH,160,44
MATH 163,65,2.9,35,MATH,163,45
MATH 170A,1084,2.9712546125461254,505,MATH,170,46
MATH 170B,480,2.9897708333333335,181,MATH,170,47
MATH 170C,107,3.4994392523364484,30,MATH,170,48
MATH 171A,319,3.1252351097178686,197,MATH,171,49
MATH 171B,128,3.4646875,86,MATH,171,50
MATH 173A,204,3.2476470588235293,116,MATH,173,51
MATH 173B,47,3.206808510638298,22,MATH,173,52
MATH 174,50,2.75,19,MATH,174,53
MATH 180A,1584,2.7967171717171717,736,MATH,180,54
MATH 180B,473,3.0078435517970403,271,MATH,180,55
MATH 180C,329,3.036838905775076,187,MATH,180,56
MATH 181A,651,3.0221658986175113,377,MATH,181,57
MATH 181B,387,3.1924806201550386,170,MATH,181,58
MATH 181E,45,3.89,45,MATH,181,59
MATH 183,1556,3.25870822622108,825,MATH,183,60
MATH 184,503,2.9525844930417495,194,MATH,184,61
MATH 185,226,3.2949115044247788,100,MATH,185,62
MATH 186,182,3.2646153846153845,97,MATH,186,63
MATH 187A,989,3.580728008088979,573,MATH,187,64
MATH 187B,39,3.69,39,MATH,187,65
MATH 189,1160,3.798344827586207,653,MATH,189,66
MATH 190A,54,3.17,27,MATH,190,67
MATH 194,200,3.2635,133,MATH,194,68
