Course,Enroll,GPA,yearly_num,dept,num,index
MGT 3,1192,3.029471476510067,197,MGT,3,0
MGT 4,2197,2.63385070550751,72,MGT,4,1
MGT 5,7520,3.032472074468085,559,MGT,5,2
MGT 12,5354,3.4290679865521105,906,MGT,12,3
MGT 16,10511,3.3962867472172014,1334,MGT,16,4
MGT 18,8180,3.04240097799511,1115,MGT,18,5
MGT 45,6872,3.1295445285215364,764,MGT,45,6
MGT 52,448,3.6927678571428575,174,MGT,52,7
MGT 71,205,3.2194146341463417,205,MGT,71,8
MGT 100,128,3.45234375,128,MGT,100,9
MGT 102,143,3.5298601398601397,81,MGT,102,10
MGT 103,15591,3.2563671348855108,1671,MGT,103,11
MGT 105,2267,3.539528010586679,227,MGT,105,12
MGT 106,1270,3.232527559055118,157,MGT,106,13
MGT 107,606,3.7755115511551156,229,MGT,107,14
MGT 108R,79,3.81,79,MGT,108,15
MGT 112,7038,3.5432779198635975,812,MGT,112,16
MGT 119,404,3.6536138613861384,89,MGT,119,17
MGT 121A,3435,3.452698689956332,213,MGT,121,18
MGT 121B,438,3.5610502283105023,64,MGT,121,19
MGT 127,319,3.582100313479624,72,MGT,127,20
MGT 128R,343,3.5451020408163267,79,MGT,128,21
MGT 131A,4737,2.8819696010132994,216,MGT,131,22
MGT 131B,3268,3.182790697674419,139,MGT,131,23
MGT 132,2736,3.175749269005848,123,MGT,132,24
MGT 134,946,3.4642389006342493,26,MGT,134,25
MGT 135,2534,3.22843725335438,133,MGT,135,26
MGT 136,2477,3.497807832054905,123,MGT,136,27
MGT 137,427,3.8682435597189695,68,MGT,137,28
MGT 139,76,3.218815789473684,15,MGT,139,29
MGT 147,105,3.4355238095238096,26,MGT,147,30
MGT 148,23,3.57,23,MGT,148,31
MGT 153,1956,3.3541257668711655,583,MGT,153,32
MGT 158,172,3.448197674418605,77,MGT,158,33
MGT 160,94,3.91,94,MGT,160,34
MGT 162,618,3.740129449838188,82,MGT,162,35
MGT 162R,458,3.734803493449782,390,MGT,162,36
MGT 164,5888,3.168508831521739,861,MGT,164,37
MGT 166,5620,3.2170213523131674,552,MGT,166,38
MGT 167,1169,3.5001112061591106,207,MGT,167,39
MGT 171,430,3.3952558139534883,199,MGT,171,40
MGT 172,10888,3.398609478324761,1330,MGT,172,41
MGT 173,1648,3.7237014563106796,332,MGT,173,42
MGT 175,610,3.370622950819672,241,MGT,175,43
MGT 176,115,3.5665217391304345,70,MGT,176,44
MGT 181,8249,3.1157510001212265,727,MGT,181,45
MGT 183,680,3.203941176470588,147,MGT,183,46
MGT 184,416,3.6544230769230768,59,MGT,184,47
MGT 185,1110,3.4465675675675675,97,MGT,185,48
MGT 187,2154,3.236471680594243,351,MGT,187,49
MGT 189,113,3.36,113,MGT,189,50
