Course,GPA,yearly_num,dept,num,index
MMW 1,3.446771731917717,0,MMW,1,0
MMW 2,3.0700967866821527,0,MMW,2,1
MMW 3,3.1621158392434987,0,MMW,3,2
MMW 4,3.1310785185185184,0,MMW,4,3
MMW 4T,3.005,0,MMW,4,4
MMW 5,3.1344387940428624,0,MMW,5,5
MMW 5GS,3.136591506952273,0,MMW,5,6
MMW 6,3.145761393108559,0,MMW,6,7
MMW 6GS,3.139739204788371,0,MMW,6,8
MMW 11,3.206713738834538,1157,MMW,11,9
MMW 12,3.173412971542025,1082,MMW,12,10
MMW 13,3.302133105802048,1037,MMW,13,11
MMW 14,3.307430043528471,991,MMW,14,12
MMW 14GS,3.1712228451296425,0,MMW,14,13
MMW 15,3.368890535284312,896,MMW,15,14
MMW 15GS,3.203260952380952,28,MMW,15,15
MMW 21,3.131150112023898,0,MMW,21,16
MMW 22,3.1571064204045736,0,MMW,22,17
MMW 121,3.0408042076688155,53,MMW,121,18
MMW 121R,3.4318092105263163,489,MMW,121,19
MMW 122,3.141556244713843,501,MMW,122,20
