Course,Enroll,GPA,yearly_num,dept,num,index
PHIL 1,268,3.0155970149253735,68,PHIL,1,0
PHIL 10,1315,2.9133688212927757,840,PHIL,10,1
PHIL 12,344,3.355697674418605,118,PHIL,12,2
PHIL 13,452,3.010287610619469,231,PHIL,13,3
PHIL 14,272,2.8661029411764702,146,PHIL,14,4
PHIL 15,249,3.17855421686747,129,PHIL,15,5
PHIL 27,1127,3.2394676131322093,496,PHIL,27,6
PHIL 28,1248,3.4006971153846153,546,PHIL,28,7
PHIL 31,129,3.5012403100775193,61,PHIL,31,8
PHIL 32,65,2.97,41,PHIL,32,9
PHIL 33,107,2.9414953271028037,65,PHIL,33,10
PHIL 35,66,3.32,128,PHIL,35,11
PHIL 100,71,3.255492957746479,39,PHIL,100,12
PHIL 101,28,3.35,36,PHIL,101,13
PHIL 110,76,3.16,36,PHIL,110,14
PHIL 111,64,3.0109375000000003,30,PHIL,111,15
PHIL 112,75,3.240533333333333,34,PHIL,112,16
PHIL 120,200,3.2294,108,PHIL,120,17
PHIL 125,74,3.388108108108108,36,PHIL,125,18
PHIL 130,109,3.7144954128440366,39,PHIL,130,19
PHIL 131,67,2.908059701492537,35,PHIL,131,20
PHIL 132,62,3.216451612903226,32,PHIL,132,21
PHIL 136,35,2.66,72,PHIL,136,22
PHIL 138,74,2.920810810810811,38,PHIL,138,23
PHIL 140,49,2.79,49,PHIL,140,24
PHIL 141,55,3.06,59,PHIL,141,25
PHIL 145,84,3.346190476190477,46,PHIL,145,26
PHIL 146,59,3.135254237288136,29,PHIL,146,27
PHIL 147,71,3.4074647887323946,38,PHIL,147,28
PHIL 148,78,3.2717948717948717,78,PHIL,148,29
PHIL 150,38,3.38,38,PHIL,150,30
PHIL 152,36,3.71,36,PHIL,152,31
PHIL 155,76,3.4123684210526313,34,PHIL,155,32
PHIL 160,107,3.2608411214953272,79,PHIL,160,33
PHIL 163,135,3.44,69,PHIL,163,34
PHIL 165,57,3.4399999999999995,57,PHIL,165,35
PHIL 169,39,3.72,39,PHIL,169,36
PHIL 172,79,3.2165822784810127,42,PHIL,172,37
PHIL 173,76,3.620526315789474,76,PHIL,173,38
PHIL 174,66,3.46,132,PHIL,174,39
