Course,Enroll,GPA,yearly_num,dept,num,index
PHYS 1A,24362,3.1090456448567445,2057,PHYS,1,0
PHYS 1AL,23313,3.355351949556042,3593,PHYS,1,1
PHYS 1B,21435,3.0997485421040354,1722,PHYS,1,2
PHYS 1BL,18717,3.3862002457658815,3232,PHYS,1,3
PHYS 1C,20213,3.14470984020185,1581,PHYS,1,4
PHYS 1CL,17649,3.352474927757947,2881,PHYS,1,5
PHYS 2A,24052,2.9208132379843668,1615,PHYS,2,6
PHYS 2B,22235,2.8605243984708792,1409,PHYS,2,7
PHYS 2BL,6644,3.2166044551475013,305,PHYS,2,8
PHYS 2C,19947,3.024191106432045,1311,PHYS,2,9
PHYS 2CL,11582,3.2067449490588844,657,PHYS,2,10
PHYS 2D,4942,3.0295791177660867,180,PHYS,2,11
PHYS 2DL,903,3.3612735326688816,52,PHYS,2,12
PHYS 4A,1245,3.1440481927710846,257,PHYS,4,13
PHYS 4B,951,3.1625446898002103,106,PHYS,4,14
PHYS 4C,717,2.9758298465829847,94,PHYS,4,15
PHYS 4D,530,3.0687924528301886,81,PHYS,4,16
PHYS 4E,501,3.0309780439121754,77,PHYS,4,17
PHYS 5,1902,3.1561777076761306,360,PHYS,5,18
PHYS 7,1323,3.0351625094482237,232,PHYS,7,19
PHYS 9,1140,3.2111052631578945,51,PHYS,9,20
PHYS 10,2321,3.170573028866868,54,PHYS,10,21
PHYS 12,385,3.222857142857143,52,PHYS,12,22
PHYS 13,681,3.158604992657856,73,PHYS,13,23
PHYS 100A,1292,2.6989164086687305,76,PHYS,100,24
PHYS 100B,981,2.911620795107033,62,PHYS,100,25
PHYS 100C,529,3.264291115311909,26,PHYS,100,26
PHYS 105A,1109,2.6466456266907126,70,PHYS,105,27
PHYS 105B,208,2.9821634615384616,11,PHYS,105,28
PHYS 110A,1295,2.8259227799227795,75,PHYS,110,29
PHYS 110B,678,3.057182890855457,27,PHYS,110,30
PHYS 120,545,3.083357798165138,97,PHYS,120,31
PHYS 122,77,3.5415584415584416,10,PHYS,122,32
PHYS 130A,1178,2.908157894736842,142,PHYS,130,33
PHYS 130B,880,2.863159090909091,53,PHYS,130,34
PHYS 130C,199,3.4613567839195984,12,PHYS,130,35
PHYS 133,158,3.7986075949367093,22,PHYS,133,36
PHYS 140A,1006,2.863767395626242,63,PHYS,140,37
PHYS 140B,71,2.7805633802816905,12,PHYS,140,38
PHYS 152A,32,3.33,18,PHYS,152,39
PHYS 160,335,3.0059402985074626,40,PHYS,160,40
PHYS 162,398,3.34391959798995,43,PHYS,162,41
PHYS 163,231,2.822121212121212,28,PHYS,163,42
PHYS 164,73,2.92931506849315,20,PHYS,164,43
