Course,Enroll,GPA,yearly_num,dept,num,index
POLI 5D,101,3.022574257425743,79,POLI,5,0
POLI 10D,461,3.2707809110629067,202,POLI,10,1
POLI 11D,579,3.429050086355786,330,POLI,11,2
POLI 12D,702,3.4563247863247866,313,POLI,12,3
POLI 13DR,231,3.81,231,POLI,13,4
POLI 27,669,3.530239162929746,321,POLI,27,5
POLI 28,750,3.6016666666666666,268,POLI,28,6
POLI 30D,1058,3.2229489603024577,491,POLI,30,7
POLI 100B,331,3.498972809667674,176,POLI,100,8
POLI 100G,374,3.8343850267379676,211,POLI,100,9
POLI 100I,150,3.05,150,POLI,100,10
POLI 100V,106,3.0499999999999994,106,POLI,100,11
POLI 100W,214,3.0686915887850468,87,POLI,100,12
POLI 102D,323,3.696780185758514,215,POLI,102,13
POLI 103A,361,3.7056509695290853,218,POLI,103,14
POLI 104A,405,3.233925925925926,223,POLI,104,15
POLI 104B,301,3.3481395348837206,168,POLI,104,16
POLI 104D,295,3.2351525423728815,152,POLI,104,17
POLI 104J,183,3.81327868852459,67,POLI,104,18
POLI 104M,150,3.26,150,POLI,104,19
POLI 104P,338,3.8894674556213022,201,POLI,104,20
POLI 104U,337,3.623353115727003,224,POLI,104,21
POLI 110A,116,3.5429310344827587,47,POLI,110,22
POLI 110B,95,3.0841052631578947,49,POLI,110,23
POLI 110C,37,3.26,37,POLI,110,24
POLI 110F,47,3.68,47,POLI,110,25
POLI 112A,188,3.4046808510638296,99,POLI,112,26
POLI 113BR,200,3.6814999999999998,145,POLI,113,27
POLI 114BR,138,3.473913043478261,90,POLI,114,28
POLI 117R,103,3.7872815533980586,70,POLI,117,29
POLI 118,99,3.4052525252525254,52,POLI,118,30
POLI 120D,90,3.1344444444444446,46,POLI,120,31
POLI 120E,62,2.814193548387097,29,POLI,120,32
POLI 120G,246,3.5063008130081297,137,POLI,120,33
POLI 120H,231,3.5667532467532466,138,POLI,120,34
POLI 125B,209,3.222105263157895,129,POLI,125,35
POLI 125D,397,3.4909823677581864,144,POLI,125,36
POLI 126,257,3.4884824902723732,90,POLI,126,37
POLI 126AB,110,3.4,110,POLI,126,38
POLI 127,153,3.271960784313725,112,POLI,127,39
POLI 134D,84,3.0615476190476185,47,POLI,134,40
POLI 135,105,3.75,105,POLI,135,41
POLI 135D,155,3.2888387096774196,98,POLI,135,42
POLI 140D,280,3.1807142857142856,162,POLI,140,43
POLI 142D,486,3.4664197530864196,231,POLI,142,44
POLI 142I,64,2.98,31,POLI,142,45
POLI 142J,44,2.9399999999999995,44,POLI,142,46
POLI 143,190,3.4494210526315787,99,POLI,143,47
POLI 145,122,3.767622950819672,75,POLI,145,48
POLI 145C,114,3.57,114,POLI,145,49
POLI 146A,208,2.5403846153846157,106,POLI,146,50
POLI 147B,134,3.1567910447761194,93,POLI,147,51
POLI 149,377,3.6572679045092835,235,POLI,149,52
POLI 150A,595,3.58381512605042,438,POLI,150,53
POLI 151,276,3.4491666666666667,155,POLI,151,54
POLI 160AA,295,3.3851864406779666,166,POLI,160,55
POLI 163,149,3.149530201342282,94,POLI,163,56
POLI 174,64,3.6815625,42,POLI,174,57
POLI 175,33,4.0,33,POLI,175,58
POLI 178,84,3.78,60,POLI,178,59
