Course,Enroll,GPA,yearly_num,dept,num,index
PSYC 1,15358,3.091820549550723,1040,PSYC,1,0
PSYC 2,5936,3.0779481132075475,529,PSYC,2,1
PSYC 3,5263,3.1663461903857115,669,PSYC,3,2
PSYC 4,5464,3.0609205710102487,245,PSYC,4,3
PSYC 6,6698,3.311767691848313,563,PSYC,6,4
PSYC 7,2986,3.3578633623576692,278,PSYC,7,5
PSYC 60,21773,2.930676525972535,1386,PSYC,60,6
PSYC 70,3838,3.1050182386659717,654,PSYC,70,7
PSYC 71,815,3.210564417177914,358,PSYC,71,8
PSYC 100,5489,3.3443122608854075,1147,PSYC,100,9
PSYC 101,13366,3.233440071824031,993,PSYC,101,10
PSYC 102,7623,3.1868844287026104,563,PSYC,102,11
PSYC 104,11478,3.1153136434918975,948,PSYC,104,12
PSYC 105,9439,3.1189501006462548,1036,PSYC,105,13
PSYC 106,7800,3.0603512820512817,572,PSYC,106,14
PSYC 108,2248,3.3783007117437722,282,PSYC,108,15
PSYC 110,434,3.9111981566820275,39,PSYC,110,16
PSYC 111A,499,3.6162324649298596,40,PSYC,111,17
PSYC 111B,424,3.7295990566037736,37,PSYC,111,18
PSYC 114,814,3.608918918918919,97,PSYC,114,19
PSYC 115A,24,3.41,19,PSYC,115,20
PSYC 116A,85,3.905411764705882,22,PSYC,116,21
PSYC 116B,63,3.756666666666667,21,PSYC,116,22
PSYC 116C,41,3.9597560975609762,21,PSYC,116,23
PSYC 117,323,3.9886996904024765,21,PSYC,117,24
PSYC 118,68,3.816617647058824,33,PSYC,118,25
PSYC 122,1192,3.3640855704697983,189,PSYC,122,26
PSYC 124,2650,3.5954377358490563,372,PSYC,124,27
PSYC 125,1835,2.954376021798365,120,PSYC,125,28
PSYC 131,578,3.880051903114187,120,PSYC,131,29
PSYC 132,435,3.007977011494253,151,PSYC,132,30
PSYC 133,1894,2.6871911298838436,162,PSYC,133,31
PSYC 134,8973,3.2717374345257997,509,PSYC,134,32
PSYC 136,267,3.2208988764044943,72,PSYC,136,33
PSYC 137,2658,3.1985440180586906,244,PSYC,137,34
PSYC 141,647,3.3239412673879447,128,PSYC,141,35
PSYC 144,2227,2.9704849573417156,231,PSYC,144,36
PSYC 151,305,3.0045573770491805,52,PSYC,151,37
PSYC 153,3860,2.9080829015544043,242,PSYC,153,38
PSYC 154,3797,3.291925204108507,400,PSYC,154,39
PSYC 155,2522,3.6311974623314835,574,PSYC,155,40
PSYC 158,1855,3.6695363881401617,475,PSYC,158,41
PSYC 161,1118,3.0635509838998214,89,PSYC,161,42
PSYC 162,3136,3.0038839285714287,349,PSYC,162,43
PSYC 164,3104,3.420538015463918,330,PSYC,164,44
PSYC 168,8393,3.3208816871202194,695,PSYC,168,45
PSYC 171,585,3.5835213675213677,142,PSYC,171,46
PSYC 172,3063,3.2663924257264116,343,PSYC,172,47
PSYC 174,588,3.2168537414965988,159,PSYC,174,48
PSYC 175,21,3.74,21,PSYC,175,49
PSYC 176,824,3.3504004854368934,101,PSYC,176,50
PSYC 178,2733,3.1688913282107576,299,PSYC,178,51
PSYC 179,7007,3.1552105037819325,532,PSYC,179,52
PSYC 180,3325,3.328821052631579,266,PSYC,180,53
PSYC 181,6090,3.2497816091954026,711,PSYC,181,54
PSYC 181GS,216,3.6460648148148147,28,PSYC,181,55
PSYC 185,444,3.350337837837838,199,PSYC,185,56
PSYC 187,168,3.384464285714286,34,PSYC,187,57
PSYC 188,3811,3.1095854106533722,273,PSYC,188,58
PSYC 189,119,3.1390756302521003,23,PSYC,189,59
PSYC 190R,382,3.4799999999999995,382,PSYC,190,60
PSYC 191,1315,3.0338859315589355,121,PSYC,191,61
PSYC 193,2104,3.5174287072243344,309,PSYC,193,62
PSYC 193GS,188,3.8195212765957445,28,PSYC,193,63
PSYC 193L,966,3.593871635610766,282,PSYC,193,64
PSYC 194A,177,3.9693785310734464,29,PSYC,194,65
PSYC 194B,26,4.0,30,PSYC,194,66
PSYC 194C,138,3.9813043478260877,30,PSYC,194,67
