Course,index,GPA,yearly_num,dept
RELI 1,0,3.4404311774461025,37,RELI
RELI 2,1,3.570934959349594,0,RELI
RELI 101,2,3.8920417633410676,39,RELI
RELI 110A,3,3.403125,0,RELI
RELI 110B,4,3.5226767676767676,0,RELI
RELI 111,5,3.435,0,RELI
RELI 112,6,3.63,0,RELI
RELI 113,7,3.0583428571428573,0,RELI
RELI 131,8,3.49,0,RELI
RELI 134,9,3.29,0,RELI
RELI 141,10,3.2899999999999996,0,RELI
RELI 143,11,3.301111111111111,0,RELI
RELI 144,12,3.390545454545455,0,RELI
RELI 145,13,3.94,0,RELI
RELI 146,14,2.99,0,RELI
RELI 147,15,3.49,0,RELI
RELI 149,16,3.906311787072244,40,RELI
RELI 150,17,3.9828260869565217,0,RELI
RELI 157GS,18,4.0,0,RELI
RELI 158GS,19,4.0,0,RELI
RELI 188,20,3.577208480565371,72,RELI
