Course,Enroll,GPA,yearly_num,dept,num,index
SE 1,2599,3.034948056944979,212,SE,1,0
SE 3,814,3.2914004914004913,176,SE,3,1
SE 9,1554,3.287496782496783,88,SE,9,2
SE 101A,3817,2.5929316216924283,159,SE,101,3
SE 101B,2978,2.598556077904634,121,SE,101,4
SE 101C,3064,2.7930972584856395,94,SE,101,5
SE 102,1427,3.2554519971969165,95,SE,102,6
SE 103,1597,2.9236568566061365,69,SE,103,7
SE 105,307,3.3599674267100976,97,SE,105,8
SE 110A,2849,2.881235521235521,101,SE,110,9
SE 110B,2010,2.9860099502487563,115,SE,110,10
SE 115,1832,3.1197707423580785,111,SE,115,11
SE 125,2134,2.907567947516401,101,SE,125,12
SE 130A,2054,2.902667964946446,87,SE,130,13
SE 130B,1797,3.0040901502504176,97,SE,130,14
SE 131A,361,3.0718836565096956,96,SE,131,15
SE 131B,336,3.2638095238095235,107,SE,131,16
SE 132,48,3.5862499999999997,22,SE,132,17
SE 140A,534,3.309737827715356,81,SE,140,18
SE 140B,516,3.5107751937984495,83,SE,140,19
SE 142,533,3.0366979362101314,43,SE,142,20
SE 143A,216,3.509629629629629,19,SE,143,21
SE 143B,196,3.5391836734693882,18,SE,143,22
SE 150A,136,3.0708823529411764,72,SE,150,23
SE 150B,27,3.11,27,SE,150,24
SE 151A,1562,3.0456786171574906,94,SE,151,25
SE 151B,1309,2.8672803666921314,47,SE,151,26
SE 154,692,3.22885838150289,24,SE,154,27
SE 160A,1590,2.8026918238993708,118,SE,160,28
SE 160B,1546,2.7959249676584736,110,SE,160,29
SE 163,680,3.240014705882353,27,SE,163,30
SE 171,316,3.0078797468354432,29,SE,171,31
SE 180,1058,3.234640831758034,80,SE,180,32
SE 181,1220,3.0693524590163936,97,SE,181,33
SE 182,457,3.1219912472647704,22,SE,182,34
SE 184,31,3.21,18,SE,184,35
