Course,Enroll,GPA,yearly_num,dept,num,index
SIO 1,262,3.358435114503817,125,SIO,1,0
SIO 3,137,3.3337226277372265,70,SIO,3,1
SIO 10,894,3.315369127516778,570,SIO,10,2
SIO 12,307,3.595211726384365,143,SIO,12,3
SIO 15,690,3.745057971014493,349,SIO,15,4
SIO 16,208,2.5925000000000002,108,SIO,16,5
SIO 20,267,3.1642696629213485,133,SIO,20,6
SIO 30,586,3.1661433447098974,250,SIO,30,7
SIO 35,204,3.98,204,SIO,35,8
SIO 40,295,3.624338983050847,138,SIO,40,9
SIO 45,275,3.6492363636363634,139,SIO,45,10
SIO 50,124,3.4937096774193552,40,SIO,50,11
SIO 60,116,3.364827586206897,64,SIO,60,12
SIO 75,126,3.3177777777777773,70,SIO,75,13
SIO 100,118,3.4391525423728817,68,SIO,100,14
SIO 101,248,3.073306451612903,130,SIO,101,15
SIO 102,68,3.435294117647059,38,SIO,102,16
SIO 103,44,2.98,23,SIO,103,17
SIO 105,44,3.9909090909090907,24,SIO,105,18
SIO 107,44,3.860909090909091,23,SIO,107,19
SIO 108,41,3.2229268292682924,20,SIO,108,20
SIO 109R,69,3.8333333333333335,38,SIO,109,21
SIO 110,58,3.8099999999999996,29,SIO,110,22
SIO 113,60,3.3906666666666667,32,SIO,113,23
SIO 115,63,3.3076190476190477,32,SIO,115,24
SIO 116,50,3.57,25,SIO,116,25
SIO 117,97,3.267319587628866,51,SIO,117,26
SIO 119,276,3.059927536231884,110,SIO,119,27
SIO 120,66,3.734545454545455,43,SIO,120,28
SIO 123,45,3.64,45,SIO,123,29
SIO 125,61,3.5519672131147537,33,SIO,125,30
SIO 126,85,2.7256470588235295,54,SIO,126,31
SIO 127,78,3.049871794871795,41,SIO,127,32
SIO 132,774,3.372325581395349,372,SIO,132,33
SIO 133,544,3.618970588235294,274,SIO,133,34
SIO 134,304,3.0216776315789473,145,SIO,134,35
SIO 135,50,3.65,17,SIO,135,36
SIO 136,673,3.56148588410104,352,SIO,136,37
SIO 143,54,3.322962962962963,29,SIO,143,38
SIO 145,66,3.5,66,SIO,145,39
SIO 147,26,3.31,26,SIO,147,40
SIO 152,22,3.73,22,SIO,152,41
SIO 153,26,3.61,26,SIO,153,42
SIO 164,64,3.61734375,35,SIO,164,43
SIO 170,21,3.6199999999999997,21,SIO,170,44
SIO 171,60,3.32,30,SIO,171,45
SIO 172,61,3.1918032786885244,32,SIO,172,46
SIO 173,90,3.295777777777778,44,SIO,173,47
SIO 175,31,3.64,31,SIO,175,48
SIO 181,377,2.9962864721485407,137,SIO,181,49
SIO 187,208,3.152596153846154,115,SIO,187,50
SIO 189,131,3.107480916030535,70,SIO,189,51
SIO 190,23,3.67,36,SIO,190,52
