Course,Enroll,GPA,yearly_num,dept,num,index
SOCI 1,5874,3.4301702417432756,494,SOCI,1,0
SOCI 2,3244,3.3440813810110974,409,SOCI,2,1
SOCI 10R,61,3.12,61,SOCI,10,2
SOCI 20,1196,3.1936371237458197,64,SOCI,20,3
SOCI 30,654,3.3217737003058105,59,SOCI,30,4
SOCI 40,2379,3.467532576712905,206,SOCI,40,5
SOCI 50,1645,3.2718358662613984,108,SOCI,50,6
SOCI 60,4316,3.2515384615384613,422,SOCI,60,7
SOCI 70,1093,3.631985361390668,117,SOCI,70,8
SOCI 100,3378,3.0581616341030196,295,SOCI,100,9
SOCI 103M,131,3.46175572519084,29,SOCI,103,10
SOCI 104,537,3.4556052141527003,24,SOCI,104,11
SOCI 104Q,257,3.651011673151751,49,SOCI,104,12
SOCI 106,271,3.3652029520295206,63,SOCI,106,13
SOCI 108,106,3.3650943396226416,30,SOCI,108,14
SOCI 109,341,3.1264809384164227,72,SOCI,109,15
SOCI 109M,125,3.7752000000000003,29,SOCI,109,16
SOCI 110,243,3.4226748971193417,34,SOCI,110,17
SOCI 111,136,3.504191176470588,55,SOCI,111,18
SOCI 112,459,3.29281045751634,70,SOCI,112,19
SOCI 113,886,3.2817607223476295,52,SOCI,113,20
SOCI 114,247,3.113157894736842,65,SOCI,114,21
SOCI 115,710,3.324718309859155,59,SOCI,115,22
SOCI 117,3971,3.5561823218332913,357,SOCI,117,23
SOCI 118,911,3.176794731064764,103,SOCI,118,24
SOCI 119,1199,3.1410091743119266,93,SOCI,119,25
SOCI 120,53,3.48,53,SOCI,120,26
SOCI 120T,665,3.3374135338345865,36,SOCI,120,27
SOCI 121R,122,3.6895901639344264,122,SOCI,121,28
SOCI 123,507,3.075364891518738,57,SOCI,123,29
SOCI 124,235,3.3294468085106383,58,SOCI,124,30
SOCI 125,1704,3.4106631455399063,178,SOCI,125,31
SOCI 126,1713,3.351856392294221,94,SOCI,126,32
SOCI 127,844,3.3552843601895734,167,SOCI,127,33
SOCI 131,543,3.2907366482504603,54,SOCI,131,34
SOCI 132,954,3.3036687631027255,99,SOCI,132,35
SOCI 133,226,3.4533628318584073,54,SOCI,133,36
SOCI 133E,40,3.22,40,SOCI,133,37
SOCI 135,769,3.5453055916775034,128,SOCI,135,38
SOCI 136,67,3.783134328358209,37,SOCI,136,39
SOCI 136F,1034,3.127176015473888,156,SOCI,136,40
SOCI 138,1048,3.1920229007633587,185,SOCI,138,41
SOCI 140,1202,3.262246256239601,109,SOCI,140,42
SOCI 140A,112,3.0035714285714286,44,SOCI,140,43
SOCI 140J,93,3.2099999999999995,93,SOCI,140,44
SOCI 140K,121,3.463388429752066,52,SOCI,140,45
SOCI 141,1686,3.2742348754448396,76,SOCI,141,46
SOCI 143,1078,3.2550927643784786,84,SOCI,143,47
SOCI 144,480,3.2488125,77,SOCI,144,48
SOCI 145,644,3.057531055900621,32,SOCI,145,49
SOCI 146,657,3.4667275494672753,125,SOCI,146,50
SOCI 148,952,3.2805357142857146,84,SOCI,148,51
SOCI 151,340,3.2400588235294117,65,SOCI,151,52
SOCI 156,185,3.3632432432432435,56,SOCI,156,53
SOCI 157,182,3.732197802197802,8,SOCI,157,54
SOCI 158,133,3.5715789473684207,25,SOCI,158,55
SOCI 159,1531,3.3622534291312864,128,SOCI,159,56
SOCI 160,702,3.2539031339031337,123,SOCI,160,57
SOCI 162,299,3.269832775919732,45,SOCI,162,58
SOCI 163,401,3.0901246882793014,56,SOCI,163,59
SOCI 165,229,3.611484716157205,67,SOCI,165,60
SOCI 165A,309,2.9347896440129446,5,SOCI,165,61
SOCI 168G,26,2.48,26,SOCI,168,62
SOCI 171,218,3.260550458715596,32,SOCI,171,63
SOCI 172,1091,3.2484051329055914,55,SOCI,172,64
SOCI 173,387,3.3867700258397933,99,SOCI,173,65
SOCI 175,142,3.2918309859154933,61,SOCI,175,66
SOCI 180,794,3.284458438287154,66,SOCI,180,67
SOCI 183,132,3.4334848484848486,43,SOCI,183,68
SOCI 185,834,3.331306954436451,25,SOCI,185,69
SOCI 187,817,3.541517747858017,36,SOCI,187,70
SOCI 188,78,3.8320512820512818,23,SOCI,188,71
SOCI 188D,448,3.2573883928571425,12,SOCI,188,72
SOCI 188E,349,3.7775931232091695,10,SOCI,188,73
