Course,GPA,yearly_num,dept,num,index
TDAC 1,3.794924784217016,529,TDAC,1,0
TDAC 101,3.834754098360656,130,TDAC,101,1
TDAC 102,3.8957037037037043,94,TDAC,102,2
TDAC 103A,3.868913043478261,0,TDAC,103,3
TDAC 103B,3.902222222222222,0,TDAC,103,4
TDAC 107,3.75,0,TDAC,107,5
TDAC 108,3.9213043478260867,0,TDAC,108,6
TDAC 109,4.0,13,TDAC,109,7
TDAC 110,3.9400000000000004,0,TDAC,110,8
TDAC 111,3.7885714285714287,19,TDAC,111,9
TDAC 112,3.6739622641509433,28,TDAC,112,10
TDAC 115,3.7800666666666665,45,TDAC,115,11
TDAC 122,4.0,39,TDAC,122,12
