Course,index,GPA,yearly_num,dept
TDGE 1,0,3.7241270588235293,527,TDGE
TDGE 3,1,3.858023952095808,0,TDGE
TDGE 5,2,3.889296875,0,TDGE
TDGE 10,3,3.453087774294671,314,TDGE
TDGE 11,4,3.4612328904991947,520,TDGE
TDGE 25,5,3.7965736434108526,160,TDGE
TDGE 89,6,3.95,0,TDGE
TDGE 100,7,3.885141700404858,49,TDGE
TDGE 122,8,3.412,0,TDGE
TDGE 124,9,3.695,522,TDGE
TDGE 125,10,3.6786115992970125,139,TDGE
TDGE 126,11,3.4902710843373494,0,TDGE
TDGE 127,12,3.3755108359133126,0,TDGE
TDGE 131,13,3.628139534883721,76,TDGE
