Course,GPA,yearly_num,dept,num,index
TDHT 21,3.3351076320939335,64,TDHT,21,0
TDHT 22,3.239686274509804,67,TDHT,22,1
TDHT 23,3.2561031833150382,72,TDHT,23,2
TDHT 101,3.537460122699387,102,TDHT,101,3
TDHT 102,3.8399999999999994,18,TDHT,102,4
TDHT 103,3.5685714285714285,24,TDHT,103,5
TDHT 104,3.3441428571428573,0,TDHT,104,6
TDHT 105,3.742117647058824,0,TDHT,105,7
TDHT 107,3.6662500000000002,31,TDHT,107,8
TDHT 109,3.66,0,TDHT,109,9
TDHT 110,3.89,0,TDHT,110,10
TDHT 111,3.4419999999999997,0,TDHT,111,11
TDHT 114,3.2777974683544304,23,TDHT,114,12
TDHT 115,3.68,0,TDHT,115,13
TDHT 116,3.6,0,TDHT,116,14
TDHT 119,3.91,0,TDHT,119,15
TDHT 120,3.5213333333333328,0,TDHT,120,16
