Course,Enroll,GPA,yearly_num,dept,num,index
TDMV 1,323,3.88343653250774,157,TDMV,1,0
TDMV 2,379,3.931583113456464,185,TDMV,2,1
TDMV 3,105,3.6444761904761904,59,TDMV,3,2
TDMV 11,58,3.6149999999999998,29,TDMV,11,3
TDMV 20,73,3.8967123287671237,38,TDMV,20,4
TDMV 110,134,3.861044776119403,76,TDMV,110,5
TDMV 120,160,3.9059375000000003,76,TDMV,120,6
TDMV 122,89,3.7386516853932585,67,TDMV,122,7
TDMV 130,69,3.9776811594202903,66,TDMV,130,8
TDMV 138,153,3.972287581699346,104,TDMV,138,9
TDMV 142,320,3.9723437500000003,167,TDMV,142,10
TDMV 143,183,3.9787978142076503,141,TDMV,143,11
TDMV 146,111,3.9608108108108104,75,TDMV,146,12
TDMV 148,89,3.9157303370786516,52,TDMV,148,13
