Course,Enroll,GPA,yearly_num,dept,num,index
USP 1,247,3.5835222672064777,125,USP,1,0
USP 2,322,3.2978571428571426,119,USP,2,1
USP 3,284,3.034929577464789,116,USP,3,2
USP 4,221,3.5157013574660634,112,USP,4,3
USP 5,183,3.322295081967213,123,USP,5,4
USP 6,81,3.6604938271604937,38,USP,6,5
USP 15,221,3.1130769230769233,115,USP,15,6
USP 25,180,3.4473333333333334,123,USP,25,7
USP 100,93,3.593118279569892,55,USP,100,8
USP 124,351,3.215868945868946,173,USP,124,9
USP 125,111,3.3890090090090093,65,USP,125,10
USP 131,96,3.8465624999999997,51,USP,131,11
USP 142A,20,3.9300000000000006,19,USP,142,12
USP 143,456,3.674166666666667,235,USP,143,13
USP 144,138,3.14,138,USP,144,14
USP 147,278,3.570863309352518,136,USP,147,15
USP 150,155,2.996451612903226,80,USP,150,16
USP 151,249,3.7788353413654616,93,USP,151,17
USP 152,191,3.1185340314136125,69,USP,152,18
USP 153,142,2.946056338028169,100,USP,153,19
USP 158A,21,3.3800000000000003,21,USP,158,20
USP 161,24,3.14,24,USP,161,21
USP 164,26,3.67,26,USP,164,22
USP 169,44,3.376136363636364,21,USP,169,23
USP 170,71,3.480985915492958,37,USP,170,24
USP 171,282,3.3618085106382978,158,USP,171,25
USP 172,48,3.8560416666666666,25,USP,172,26
USP 173,83,3.572650602409638,45,USP,173,27
USP 176,22,3.43,22,USP,176,28
USP 177A,98,3.795510204081633,72,USP,177,29
USP 177B,20,3.7299999999999995,32,USP,177,30
USP 180,49,3.468979591836735,19,USP,180,31
USP 182,22,3.01,22,USP,182,32
USP 184,25,4.0,43,USP,184,33
USP 185A,110,3.3061818181818183,56,USP,185,34
USP 185B,110,3.3166363636363636,56,USP,185,35
USP 186,83,3.234096385542169,46,USP,186,36
USP 187,76,3.2736842105263158,43,USP,187,37
USP 188,29,3.67,29,USP,188,38
USP 191A,21,3.8999999999999995,36,USP,191,39
USP 193,21,3.79,21,USP,193,40
