Course,Enroll,GPA,yearly_num,dept,num,index
VIS 1,780,3.949974358974359,389,VIS,1,0
VIS 3,466,3.703218884120172,462,VIS,3,1
VIS 7,143,3.8300000000000005,143,VIS,7,2
VIS 10,386,3.686943005181347,234,VIS,10,3
VIS 11,287,3.78,392,VIS,11,4
VIS 20,720,3.335972222222222,358,VIS,20,5
VIS 21A,308,3.885746753246753,112,VIS,21,6
VIS 21B,173,3.89,173,VIS,21,7
VIS 22,537,3.4629608938547487,481,VIS,22,8
VIS 30,173,3.768670520231214,86,VIS,30,9
VIS 31,74,3.9899999999999998,74,VIS,31,10
VIS 41,573,3.8541361256544504,466,VIS,41,11
VIS 60,686,3.539533527696793,407,VIS,60,12
VIS 70N,503,3.423021868787276,253,VIS,70,13
VIS 80,296,3.88,148,VIS,80,14
VIS 83,135,3.59,139,VIS,83,15
VIS 84,270,3.34,270,VIS,84,16
VIS 100,145,3.666137931034483,74,VIS,100,17
VIS 101,136,3.500220588235294,73,VIS,101,18
VIS 102,147,3.4748979591836733,75,VIS,102,19
VIS 103,68,3.72,68,VIS,103,20
VIS 103A,148,3.3954729729729727,73,VIS,103,21
VIS 103D,58,3.99,58,VIS,103,22
VIS 105A,161,3.898012422360248,101,VIS,105,23
VIS 105B,79,3.8579746835443034,52,VIS,105,24
VIS 105D,52,3.8090384615384614,27,VIS,105,25
VIS 106A,143,3.843076923076923,72,VIS,106,26
VIS 106B,97,3.8611340206185565,50,VIS,106,27
VIS 107A,51,3.7331372549019606,51,VIS,107,28
VIS 110K,24,3.99,24,VIS,110,29
VIS 114A,21,3.8500000000000005,21,VIS,114,30
VIS 124E,32,3.41,32,VIS,124,31
VIS 126AN,69,3.67,69,VIS,126,32
VIS 126BN,67,3.78,64,VIS,126,33
VIS 126HN,102,3.668529411764706,69,VIS,126,34
VIS 127B,135,3.56,135,VIS,127,35
VIS 128A,71,3.7899999999999996,71,VIS,128,36
VIS 128C,75,3.64,54,VIS,128,37
VIS 133,59,4.0,59,VIS,133,38
VIS 135,79,3.8353164556962027,43,VIS,135,39
VIS 141A,23,3.97,50,VIS,141,40
VIS 142,257,3.847859922178989,142,VIS,142,41
VIS 143,44,3.742272727272727,23,VIS,143,42
VIS 145A,76,3.72,87,VIS,145,43
VIS 147A,125,3.74896,43,VIS,147,44
VIS 150,30,3.71,105,VIS,150,45
VIS 157,45,3.08,65,VIS,157,46
VIS 159,259,3.7157142857142853,130,VIS,159,47
VIS 163,29,4.0,29,VIS,163,48
VIS 164,153,3.765228758169934,105,VIS,164,49
VIS 165,90,3.7468888888888894,44,VIS,165,50
VIS 165A,22,3.77,22,VIS,165,51
VIS 167,86,3.6802325581395348,42,VIS,167,52
VIS 168,44,3.5,44,VIS,168,53
VIS 171,45,3.889333333333333,24,VIS,171,54
VIS 174,130,3.679307692307692,107,VIS,174,55
VIS 175,85,3.9488235294117646,44,VIS,175,56
VIS 177,89,3.586292134831461,23,VIS,177,57
VIS 178,44,3.7950000000000004,44,VIS,178,58
VIS 179,24,3.42,37,VIS,179,59
VIS 180A,23,3.93,45,VIS,180,60
VIS 183A,65,3.793538461538461,44,VIS,183,61
VIS 183B,66,3.77530303030303,22,VIS,183,62
VIS 185,21,3.41,19,VIS,185,63
