,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
0,"Butler, Elizabeth Annette",AAS 10 - Intro/African-American Studies (A),SP23,66,48,93.5%,100.0%,2.8,A- (3.84),B+ (3.67)
1,"Butler, Elizabeth Annette",AAS 170 - Legacies of Research (A),SP23,20,7,100.0%,100.0%,2.5,A- (3.86),A- (3.86)
2,"Butler, Elizabeth Annette",AAS 11 - Intro Black Diasporic Studies (A),WI23,65,46,93.5%,93.3%,4.15,A- (3.84),A- (3.71)
3,"Butler, Elizabeth Annette",AAS 10 - Intro/African-American Studies (A),FA22,69,20,70.0%,75.0%,3.7,A- (3.93),A- (3.80)
4,"Butler, Elizabeth Annette",AAS 170 - Legacies of Research (A),FA22,31,9,88.9%,88.9%,3.61,A- (3.89),B+ (3.68)
5,"Butler, Elizabeth Annette",AAS 10 - Intro/African-American Studies (A),SP22,66,50,95.9%,97.9%,3.56,A- (3.86),B+ (3.64)
6,"Puritty, Chandler Elizabeth",AAS 190 - Sp Topics/Af-Am Studies (A),SP22,44,16,100.0%,100.0%,1.43,A (4.00),A (4.00)
7,"Butler, Elizabeth Annette",AAS 10 - Intro/African-American Studies (A),WI22,66,38,91.9%,94.6%,3.71,A- (3.71),A- (3.73)
8,"Butler, Elizabeth Annette",AAS 10 - Intro/African-American Studies (A),FA21,67,40,94.9%,94.6%,4.0,B+ (3.67),B+ (3.54)
9,"Puritty, Chandler Elizabeth",AAS 190 - Sp Topics/Af-Am Studies (A),FA21,39,14,100.0%,100.0%,2.93,A- (3.86),A (4.00)
10,"Butler, Elizabeth Annette",AAS 10 - Intro/African-American Studies (A),SP21,42,31,100.0%,96.7%,3.79,A- (3.86),A- (3.84)
11,"Puritty, Chandler Elizabeth",AAS 190 - Sp Topics/Af-Am Studies (A),SP21,13,7,100.0%,100.0%,1.93,A (4.00),
12,"Butler, Elizabeth Annette",AAS 10 - Intro/African-American Studies (A),WI21,64,53,88.5%,94.2%,3.81,A- (3.71),B+ (3.68)
13,"Butler, Elizabeth Annette",AAS 10 - Intro/African-American Studies (A),FA20,65,29,89.3%,96.3%,4.5,A- (3.77),B+ (3.33)
14,"Puritty, Chandler Elizabeth",AAS 190 - Sp Topics/Af-Am Studies (A),FA20,19,5,100.0%,100.0%,2.1,A (4.00),
15,"Fishman, Darwin",AAS 10 - Intro/African-American Studies (A),SP20,54,34,51.5%,18.2%,4.08,B+ (3.45),A (4.00)
16,"Odom, Mychal Matsemelaali",AAS 10 - Intro/African-American Studies (A),SP19,49,17,81.3%,75.0%,4.0,B (3.17),B+ (3.58)
17,"Childs, Dennis R.",AAS 10 - Intro/African-American Studies (A),WI17,46,19,94.4%,94.4%,5.32,B+ (3.41),B+ (3.63)
18,"Borgo, David Garcia",AAS 87 - Freshman Seminar (A),FA15,12,6,100.0%,100.0%,0.5,,
19,"Yang, K. Wayne",AAS 87 - Freshman Seminar (B),FA15,14,10,100.0%,100.0%,0.5,A (4.00),
20,"Hernandez, Jillian",AAS 87 - Freshman Seminar (A),SP15,9,5,75.0%,75.0%,2.0,,
